id,sample_type
SCr-44,Deployed
SCr-440,Deployed
SCr-441,Deployed
SCr-442,Deployed
SCr-443,Deployed
SCr-444,Deployed
SCr-445,Deployed
SCr-446,Deployed
SCr-447,Deployed
SCr-448,Deployed
SCr-449,Deployed
SCr-45,Deployed
SCr-450,Deployed
SCr-451,Deployed
SCr-452,Deployed
SCr-453,Deployed
SCr-454,Deployed
SCr-455,Deployed
SCr-456,Deployed
SCr-457,Deployed
SCr-458,Deployed
SCr-459,Deployed
SCr-46,Deployed
SCr-460,Deployed
SCr-461,Deployed
SCr-462,Deployed
SCr-463,Deployed
SCr-464,Deployed
SCr-4642,Deployed
SCr-465,Deployed
SCr-466,Deployed
SCr-467,Deployed
SCr-468,Deployed
SCr-469,Deployed
SCr-47,Deployed
SCr-470,Deployed
SCr-471,Deployed
SCr-472,Deployed
SCr-473,Deployed
SCr-474,Deployed
SCr-475,Deployed
SCr-476,Deployed
SCr-477,Deployed
SCr-478,Deployed
SCr-479,Deployed
SCr-48,Deployed
SCr-480,Deployed
SCr-481,Deployed
SCr-482,Deployed
SCr-483,Deployed
SCr-484,Deployed
SCr-485,Deployed
SCr-486,Deployed
SCr-487,Deployed
SCr-488,Deployed
SCr-489,Deployed
SCr-49,Deployed
SCr-490,Deployed
SCr-491,Deployed
SCr-492,Deployed
SCr-493,Deployed
SCr-494,Deployed
SCr-495,Deployed
SCr-496,Deployed
SCr-497,Deployed
SCr-498,Deployed
SCr-499,Deployed
SCr-5,Deployed
SCr-50,Deployed
SCr-500,Deployed
SCr-501,Deployed
SCr-502,Deployed
SCr-503,Deployed
SCr-504,Deployed
SCr-505,Deployed
SCr-506,Deployed
SCr-507,Deployed
SCr-508,Deployed
SCr-509,Deployed
SCr-51,Deployed
SCr-510,Deployed
SCr-511,Deployed
SCr-512,Deployed
SCr-513,Deployed
SCr-514,Deployed
SCr-515,Deployed
SCr-516,Deployed
SCr-517,Deployed
SCr-518,Deployed
SCr-519,Deployed
SCr-52,Deployed
SCr-520,Deployed
SCr-521,Deployed
SCr-522,Deployed
SCr-523,Deployed
SCr-524,Deployed
SCr-525,Deployed
SCr-526,Deployed
SCr-527,Deployed
SCr-528,Deployed
SCr-529,Deployed
SCr-53,Deployed
SCr-530,Deployed
SCr-531,Deployed
SCr-532,Deployed
SCr-533,Deployed
SCr-534,Deployed
SCr-535,Deployed
SCr-536,Deployed
SCr-537,Deployed
SCr-538,Deployed
SCr-539,Deployed
SCr-54,Deployed
SCr-540,Deployed
SCr-541,Deployed
SCr-542,Deployed
SCr-543,Deployed
SCr-544,Deployed
SCr-545,Deployed
SCr-546,Deployed
SCr-547,Deployed
SCr-548,Deployed
SCr-549,Deployed
SCr-55,Deployed
SCr-550,Deployed
SCr-551,Deployed
SCr-552,Deployed
SCr-553,Deployed
SCr-554,Deployed
SCr-555,Deployed
SCr-556,Deployed
SCr-557,Deployed
SCr-558,Deployed
SCr-559,Deployed
SCr-56,Deployed
SCr-560,Deployed
SCr-561,Deployed
SCr-562,Deployed
SCr-563,Deployed
SCr-564,Deployed
SCr-565,Deployed
SCr-566,Deployed
SCr-567,Deployed
SCr-568,Deployed
SCr-569,Deployed
SCr-57,Deployed
SCr-570,Deployed
SCr-571,Deployed
SCr-572,Deployed
SCr-573,Deployed
SCr-574,Deployed
SCr-575,Deployed
SCr-576,Deployed
SCr-577,Deployed
SCr-578,Deployed
SCr-579,Deployed
SCr-58,Deployed
SCr-580,Deployed
SCr-581,Deployed
SCr-582,Deployed
SCr-583,Deployed
SCr-584,Deployed
SCr-585,Deployed
SCr-586,Deployed
SCr-587,Deployed
SCr-588,Deployed
SCr-589,Deployed
SCr-59,Deployed
SCr-590,Deployed
SCr-591,Deployed
SCr-592,Deployed
SCr-593,Deployed
SCr-594,control 
SCr-595,control 
SCr-596,control 
SCr-597,Deployed
SCr-598,Deployed
SCr-599,Deployed
SCr-6,Deployed
SCr-60,Deployed
SCr-600,Deployed
SCr-61,Deployed
SCr-62,Deployed
SCr-63,Deployed
SCr-64,Deployed
SCr-65,Deployed
SCr-66,Deployed
SCr-67,Deployed
SCr-68,Deployed
SCr-69,Deployed
SCr-7,Deployed
SCr-70,Deployed
SCr-71,Deployed
SCr-72,Deployed
SCr-725,Deployed
SCr-726,Deployed
SCr-727,Deployed
SCr-728,Deployed
SCr-729,Deployed
SCr-73,Deployed
SCr-730,Deployed
SCr-731,Deployed
SCr-732,Deployed
SCr-733,Deployed
SCr-734,Deployed
SCr-735,Deployed
SCr-736,Deployed
SCr-737,Deployed
SCr-738,Deployed
SCr-739,Deployed
SCr-74,Deployed
SCr-740,Deployed
SCr-741,Deployed
SCr-742,Deployed
SCr-743,Deployed
SCr-744,Deployed
SCr-745,Deployed
SCr-746,Deployed
SCr-747,Deployed
SCr-748,Deployed
SCr-749,Deployed
SCr-75,Deployed
SCr-750,Deployed
SCr-751,Deployed
SCr-752,Deployed
SCr-753,Deployed
SCr-754,Deployed
SCr-755,Deployed
SCr-756,Deployed
SCr-757,Deployed
SCr-758,Deployed
SCr-759,Deployed
SCr-76,Deployed
SCr-760,Deployed
SCr-761,Deployed
SCr-762,Deployed
SCr-763,Deployed
SCr-764,Deployed
SCr-765,Deployed
SCr-766,Deployed
SCr-767,Deployed
SCr-768,Deployed
SCr-769,Deployed
SCr-77,Deployed
SCr-770,Deployed
SCr-771,Deployed
SCr-772,Deployed
SCr-773,Deployed
SCr-774,Deployed
SCr-775,Deployed
SCr-776,Deployed
SCr-777,Deployed
SCr-778,Deployed
SCr-779,Deployed
SCr-78,Deployed
SCr-780,Deployed
SCr-781,Deployed
SCr-782,Deployed
SCr-783,Deployed
SCr-784,Deployed
SCr-785,Deployed
SCr-786,Deployed
SCr-787,Deployed
SCr-788,Deployed
SCr-789,Deployed
SCr-79,Deployed
SCr-790,Deployed
SCr-791,Deployed
SCr-792,Deployed
SCr-793,Deployed
SCr-794,Deployed
SCr-795,Deployed
SCr-796,Deployed
SCr-797,Deployed
SCr-798,Deployed
SCr-799,Deployed
SCr-8,Deployed
SCr-80,Deployed
SCr-800,Deployed
SCr-801,Deployed
SCr-802,Deployed
SCr-803,Deployed
SCr-804,Deployed
SCr-805,Deployed
SCr-806,Deployed
SCr-807,Deployed
SCr-808,Deployed
SCr-809,Deployed
SCr-81,Deployed
SCr-810,Deployed
SCr-811,Deployed
SCr-812,Deployed
SCr-813,Deployed
SCr-814,Deployed
SCr-815,Deployed
SCr-816,Deployed
SCr-817,Deployed
SCr-818,Deployed
SCr-819,Deployed
SCr-82,Deployed
SCr-820,Deployed
SCr-821,Deployed
SCr-822,Deployed
SCr-823,Deployed
SCr-824,Deployed
SCr-825,Deployed
SCr-826,Deployed
SCr-827,Deployed
SCr-828,Deployed
SCr-829,Deployed
SCr-83,Deployed
SCr-830,Deployed
SCr-831,Deployed
SCr-832,Deployed
SCr-833,Deployed
SCr-834,Deployed
SCr-835,Deployed
SCr-836,Deployed
SCr-837,Deployed
SCr-838,Deployed
SCr-839,Deployed
SCr-84,Deployed
SCr-840,Deployed
SCr-841,Deployed
SCr-842,Deployed
SCr-843,Deployed
SCr-844,Deployed
SCr-845,Deployed
SCr-846,Deployed
SCr-847,Deployed
SCr-848,Deployed
SCr-849,Deployed
SCr-85,Deployed
SCr-850,Deployed
SCr-851,Deployed
SCr-852,Deployed
SCr-853,Deployed
SCr-854,Deployed
SCr-855,Deployed
SCr-856,Deployed
SCr-857,Deployed
SCr-86,Deployed
SCr-87,Deployed
SCr-88,Deployed
SCr-89,Deployed
SCr-9,Deployed
SCr-90,Deployed
SCr-91,Deployed
SCr-92,Deployed
SCr-93,Deployed
SCr-94,Deployed
SCr-95,Deployed
SCr-96,Deployed
SCr-97,Deployed
SCr-98,Deployed
SCr-99,Deployed
SCr-BCN-101719-15A,Spatial Study
SCr-BCN-101719-15A7,Spatial Study
SCr-BCN-101719-15B,Spatial Study
SCr-BCN-101719-15C,Spatial Study
SCr-BCN-101719-15D,Spatial Study
SCr-BCN-101719-16A,Spatial Study
SCr-BCN-101719-16B,Spatial Study
SCr-BCN-101719-16C,Spatial Study
SCr-BCN-101719-16D,Spatial Study
SCr-BCN-101719-16E,Spatial Study
SCr-BCN-101719-16F,Spatial Study
SCr-BCN-101719-16G,Spatial Study
SCr-BCN-101719-17A,Spatial Study
SCr-EB-102020,Extraction Blank
SCr-EB06,Extraction Blank
SCr-EB1,Extraction Blank
SCr-EB101,Extraction Blank
SCr-EB102,Extraction Blank
SCr-EB11,Extraction Blank
SCr-EB12,Extraction Blank
SCr-EB15,Extraction Blank
SCr-EB16,Extraction Blank
SCr-EB17,Extraction Blank
SCr-EB18,Extraction Blank
SCr-EB19,Extraction Blank
SCr-EB2,Extraction Blank
SCr-EB20,Extraction Blank
SCr-EB201,Extraction Blank
SCr-EB202,Extraction Blank
SCr-EB204,Extraction Blank
SCr-EB205,Extraction Blank
SCr-EB21,Extraction Blank
SCr-EB22,Extraction Blank
SCr-EB23,Extraction Blank
SCr-EB24,Extraction Blank
SCr-EB26,Extraction Blank
SCr-EB3,Extraction Blank
SCr-EB4,Extraction Blank
SCr-EB5,Extraction Blank
SCr-EB7,Extraction Blank
SCr-EB8,Extraction Blank
SCr-EB9,Extraction Blank
SCr-Hand-1A,Hand - 2/11/20
SCr-Hand1B,Hand - 2/11/20
SCr-Match-1B,Match SCr-728
SCr-Match1A,Match SCr-728
SCr-Match1E,Match SCr-730
SCr-NTC1,?
SCr-Neg2,Control 
SCr-Neg_3874,Control 
SCr-SP-M-1-2A,Spatial Study
SCr-SP-M-1-3A,Spatial Study
SCr-SP-M-1-4A,Spatial Study
SCr-SP-M-1-5A,Spatial Study
SCr-SP-M-1-6A,Spatial Study
SCr-SP-M-1-7A,Spatial Study
SCr-SP-M-1-8A,Spatial Study
SCr-Sp-101719-BCN,Spatial Study
SCr-Sp-101719-BCN-17B,Spatial Study
SCr-Sp-101719-BCN-17C,Spatial Study
SCr-Sp-101719-BCN-17D,Spatial Study
SCr-Sp-101719-BCN-17E,Spatial Study
SCr-Sp-101719-BCN-17F,Spatial Study
SCr-Sp-101719-BCN-17G,Spatial Study
SCr-Sp-101719-BCN-18A,Spatial Study
SCr-Sp-101719-BCN-18B,Spatial Study
SCr-Sp-101719-BCN-18C,Spatial Study
SCr-Sp-101719-BCN-18D,Spatial Study
SCr-Sp-101719-BCN-18E,Spatial Study
SCr-Sp-101719-BCN-18F,Spatial Study
SCr-Sp-BCN-101720-18G,Spatial Study
SCr-Sp-M-45-1C-200305,Spatial Study
SCr-Sp-SCN-28C,Spatial Study
SCr-Sp-SCN-28D,Spatial Study
SCr-Sp-SCN-28E,Spatial Study
SCr-Sp-SCN-28F,Spatial Study
SCr-Sp-SCN-28G,Spatial Study
SCr-Sp-SCN-28H,Spatial Study
SCr-Sp-SCN-28I,Spatial Study
SCr-Sp-SCN-28J,Spatial Study
SCr-Sp-SCN21A-20200305,Spatial Study
SCr-Sp-SCN21B-20200305,Spatial Study
SCr-Sp-SCN21C-20200305,Spatial Study
SCr-Sp-SCN21D-20200305,Spatial Study
SCr-Sp-SCN22A-20200305,Spatial Study
SCr-Sp-SCN22B-20200305,Spatial Study
SCr-hand1C,Hand - 2/11/20
SCr-match1C,Match SCr-728
SCr-match1D,Match SCr-730
SCr-match1F,Match SCr-730
SCr-neg,ESP Negative
SCr-neg1,ESP Negative
Scr-176,Deployed
