id,target,dilution,replicate,conc,BLOD,BLOQ,Ct,well,source_file
SCr-268,coho,1:1,1.0,5.599264724721099,1,1,Undetermined,F4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-268,coho,1:1,2.0,5.599264724721099,1,1,Undetermined,F5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-268,coho,1:1,3.0,5.599264724721099,1,1,Undetermined,F6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-268,coho,1:5,1.0,27.996323623605495,1,1,Undetermined,F7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-268,coho,1:5,2.0,27.996323623605495,1,1,Undetermined,F8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-268,coho,1:5,3.0,27.996323623605495,1,1,Undetermined,F9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-273,coho,1:5,1.0,310.92946883799993,0,0,34.38417435,F10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-273,coho,1:5,2.0,411.383075236509,0,0,33.96331787,F11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-273,coho,1:5,3.0,99.70104527072023,0,0,36.09399033,F12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:1,1.0,5.599264724721099,1,1,Undetermined,G4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:1,2.0,5.599264724721099,1,1,Undetermined,G5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:1,3.0,5.599264724721099,1,1,Undetermined,G6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:5,1.0,219.4463702376405,0,0,34.90800476,G7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:5,2.0,133.8399649119673,0,0,35.65132141,G8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:5,3.0,436.4021682396716,0,0,33.87456512,G9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:1,1.0,5.599264724721099,1,1,Undetermined,G10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:1,2.0,5.599264724721099,1,1,Undetermined,G11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:1,3.0,10.632930962385291,1,1,37.03922653,G12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:1,1.0,358.9147038972201,0,0,31.74898911,H4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:1,2.0,166.67440556310933,0,0,32.90206909,H5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:1,3.0,143.8343108136296,0,0,33.12362289,H6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:5,1.0,208.39072249923984,0,0,34.98571396,H7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:5,2.0,198.6774940366194,0,0,35.05746841,H8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:5,3.0,184.56639358001365,0,0,35.16822052,H9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:5,1.0,27.996323623605495,1,1,Undetermined,H10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:5,2.0,27.996323623605495,1,1,Undetermined,H11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:5,3.0,27.996323623605495,1,1,Undetermined,H12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-807,coho,1:1,1.0,48.19711303076428,0,0,34.76725388,A4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:1,2.0,52.190105383354236,0,0,34.64760208,A5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:1,3.0,33.88108522043221,0,0,35.29707336,A6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
