id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file,sample_type,sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
SCr-262,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201124_Scott_Creek_Okisutch_Chloe_P1_data.csv,Control,2019-06-28 05:04:43,2019-06-28 05:04:43,,,,1000.0,1000.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,,2019-06-28,5.0,0.0,8.0
SCr-262,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20201124_Scott_Creek_Okisutch_Chloe_P1_data.csv,Control,2019-06-28 05:04:43,2019-06-28 05:04:43,,,,1000.0,1000.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,,2019-06-28,5.0,0.0,8.0
SCr-2,trout,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv,Control,2019-03-06 15:10:50,2019-03-06 14:53:57,2019-03-06 14:59:28,2019-03-06 15:22:11,22.72,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.014084507042256,2019-03-06,15.0,1.0,1.0
SCr-2,trout,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv,Control,2019-03-06 15:10:50,2019-03-06 14:53:57,2019-03-06 14:59:28,2019-03-06 15:22:11,22.72,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.014084507042256,2019-03-06,15.0,1.0,1.0
SCr-2,coho,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv,Control,2019-03-06 15:10:50,2019-03-06 14:53:57,2019-03-06 14:59:28,2019-03-06 15:22:11,22.72,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.014084507042256,2019-03-06,15.0,1.0,1.0
SCr-3,trout,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv,Control,2019-03-06 16:03:06,2019-03-06 15:46:25,2019-03-06 15:51:54,2019-03-06 16:14:19,22.42,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.60303300624441,2019-03-06,16.0,1.0,1.0
SCr-2,coho,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv,Control,2019-03-06 15:10:50,2019-03-06 14:53:57,2019-03-06 14:59:28,2019-03-06 15:22:11,22.72,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.014084507042256,2019-03-06,15.0,1.0,1.0
SCr-263,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210204_Scott_Creek_Okisutch_Kevan_P1.xls,Control,2019-06-28 05:04:43,2019-06-28 05:04:43,,,,1000.0,1000.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,,2019-06-28,5.0,0.0,8.0
SCr-134,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-05-02 15:31:53,2019-05-02 15:21:14,2019-05-02 15:26:44,2019-05-02 15:37:02,10.3,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,48.543689320388346,2019-05-02,16.0,1.0,2.0
SCr-263,trout,1:5,0.0,0.0,1,1,1,3,1,3,3,38.20855331420898,,-1.0669898986816335,1.0,20210204_Scott_Creek_Omykiss_Kevan_P1.xls,Control,2019-06-28 05:04:43,2019-06-28 05:04:43,,,,1000.0,1000.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,,2019-06-28,5.0,0.0,8.0
SCr-133,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control,2019-05-02 15:01:44,2019-05-02 14:51:23,2019-05-02 14:56:52,2019-05-02 15:06:36,9.72,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,51.440329218107,2019-05-02,15.0,1.0,2.0
SCr-3,trout,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv,Control,2019-03-06 16:03:06,2019-03-06 15:46:25,2019-03-06 15:51:54,2019-03-06 16:14:19,22.42,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.60303300624441,2019-03-06,16.0,1.0,1.0
SCr-3,coho,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv,Control,2019-03-06 16:03:06,2019-03-06 15:46:25,2019-03-06 15:51:54,2019-03-06 16:14:19,22.42,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.60303300624441,2019-03-06,16.0,1.0,1.0
SCr-3,coho,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv,Control,2019-03-06 16:03:06,2019-03-06 15:46:25,2019-03-06 15:51:54,2019-03-06 16:14:19,22.42,1000.0,1000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,44.60303300624441,2019-03-06,16.0,1.0,1.0
