id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file
SCr-104,trout,1:5,699.3395396554948,87.03750741697694,1,0,0,3,3,0,0,32.32377243041992,0.18296615779399872,1.3088531494140625,1.0,20210204_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-105,coho,1:1,0.0,0.0,1,1,1,3,2,3,3,39.10943222045898,0.8833224177360535,0.8022537231445241,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-105,coho,1:5,0.0,0.0,1,1,1,3,3,3,3,38.30717849731445,0.8776886463165283,0.8022537231445241,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-105,trout,1:1,110.47255161243065,31.72002386162153,1,0,0,3,3,0,0,32.72219467163086,0.4834142327308655,-1.8651313781738352,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-105,trout,1:5,168.19518479508687,81.97179832854201,1,0,0,3,3,0,0,34.587326049804695,0.685330331325531,-1.8651313781738352,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-106,coho,1:1,58.346524973666384,21.896010386011866,1,0,0,3,3,0,0,34.63514328,0.5671145320000001,-2.3534164399999966,0.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-106,coho,1:5,30.767372381091324,53.2906521794416,1,0,0,3,3,2,2,36.98855972,0.611131251,-2.3534164399999966,0.0,20201105_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-106,trout,1:1,2111.8479647588942,290.7364140174205,1,0,0,3,3,0,0,28.2074337,0.202363357,-2.0434722900000004,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-106,trout,1:5,2763.5476116889727,519.4348117934534,1,0,0,3,3,0,0,30.25090599,0.300542057,-2.0434722900000004,0.0,20201105_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-107,coho,1:1,0.0,0.0,1,1,1,3,3,3,3,38.27119064331055,0.7040529251098633,0.7034873962402344,1.0,20210208_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-107,coho,1:5,0.0,0.0,1,1,1,3,2,3,3,37.56770324707031,0.6751425862312317,0.7034873962402344,1.0,20210208_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-107,trout,1:1,42.568920966344166,1.8848757218735985,1,0,0,3,3,0,0,34.12180709838867,0.06743387132883072,-2.0933914184570312,0.0,20210208_Scott_Creek_Omykiss_Kevan_P1.xls
