id,target,dilution,replicate,conc,amplified,BLOD,BLOQ,Ct,Ct_Mean,Ct_sd,well,source_file
SCr-269,coho,1:5,2.0,141.49785652377707,1,0,0,35.65132141,34.81129837,0.892317235,G8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-269,coho,1:5,3.0,461.5892668344782,1,0,0,33.87456512,34.81129837,0.892317235,G9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:1,1.0,0.0,0,1,1,,37.03922653,,G10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:1,2.0,0.0,0,1,1,,37.03922653,,G11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:1,3.0,0.0,1,1,1,37.03922653,37.03922653,,G12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:1,1.0,379.84376876849933,1,0,0,31.74898911,32.59156418,0.7380489709999999,H4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:1,2.0,176.33957445354847,1,0,0,32.90206909,32.59156418,0.7380489709999999,H5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:1,3.0,152.16607488924262,1,0,0,33.12362289,32.59156418,0.7380489709999999,H6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:5,1.0,220.35308370105605,1,0,0,34.98571396,35.0704689,0.091945067,H7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:5,2.0,210.07828175408144,1,0,0,35.05746841,35.0704689,0.091945067,H8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-270,coho,1:5,3.0,195.15170328117784,1,0,0,35.16822052,35.0704689,0.091945067,H9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:5,1.0,0.0,0,1,1,,,,H10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:5,2.0,0.0,0,1,1,,,,H11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-274,coho,1:5,3.0,0.0,0,1,1,,,,H12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-807,coho,1:1,1.0,50.9667514167505,1,0,0,34.76725388,34.90397644,0.34564870600000003,A4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:1,2.0,55.190952630641185,1,0,0,34.64760208,34.90397644,0.34564870600000003,A5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:1,3.0,35.82301898854426,1,0,0,35.29707336,34.90397644,0.34564870600000003,A6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:5,1.0,0.0,1,1,1,38.24066925,37.80550766,1.300714135,A7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:5,2.0,89.29867562829699,1,0,0,36.34300232,37.80550766,1.300714135,A8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:5,3.0,0.0,1,1,1,38.8328476,37.80550766,1.300714135,A9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:1,1.0,128.51221940208748,1,0,0,33.37749863,33.7193718,0.303503662,A10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:1,2.0,87.38602483409025,1,0,0,33.95706558,33.7193718,0.303503662,A11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:1,3.0,95.5057224873086,1,0,0,33.82355118,33.7193718,0.303503662,A12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:1,1.0,40.80958668932912,1,0,0,35.10123444,34.80249786,0.258894145,B4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:1,2.0,55.34233584952005,1,0,0,34.64348602,34.80249786,0.258894145,B5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:1,3.0,54.63668726445345,1,0,0,34.66276932,34.80249786,0.258894145,B6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:5,1.0,144.83077871599784,1,0,0,35.61633682,36.01421738,0.383556604,B7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:5,2.0,87.03221283831651,1,0,0,36.38163376,36.01421738,0.383556604,B8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:5,3.0,108.90951731720412,1,0,0,36.04467392,36.01421738,0.383556604,B9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:5,1.0,127.18442843944811,1,0,0,35.81157684,36.23984528,0.58593899,B10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:5,2.0,61.329720098537194,1,0,0,36.90759277,36.23984528,0.58593899,B11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:5,3.0,112.16832581555032,1,0,0,36.00037003,36.23984528,0.58593899,B12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:1,1.0,90.20598030318317,1,0,0,33.9093399,34.89833832,1.123724699,C4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:1,2.0,54.54120646209831,1,0,0,34.66539764,34.89833832,1.123724699,C5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:1,3.0,20.713115787731127,1,0,0,36.1202774,34.89833832,1.123724699,C6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:5,1.0,0.0,1,1,1,38.40342712,38.40453339,0.930145741,C7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:5,2.0,0.0,1,1,1,39.33523178,38.40453339,0.930145741,C8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:5,3.0,0.0,1,1,1,37.47494125,38.40453339,0.930145741,C9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:1,1.0,231.11818832431797,1,0,0,32.49556732,33.00369263,0.559872866,C10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:1,2.0,175.2230923235689,1,0,0,32.91161346,33.00369263,0.559872866,C11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:1,3.0,110.53817841722176,1,0,0,33.60389709,33.00369263,0.559872866,C12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:1,1.0,55.80181438333493,1,0,0,34.63106155,34.96302795,0.499229997,D4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:1,2.0,30.533493871116967,1,0,0,35.53715134,34.96302795,0.499229997,D5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:1,3.0,52.564594991689155,1,0,0,34.72086716,34.96302795,0.499229997,D6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:5,1.0,0.0,1,1,1,38.61458588,38.41104889,0.346086979,D7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:5,2.0,0.0,1,1,1,38.01144409,38.41104889,0.346086979,D8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:5,3.0,0.0,1,1,1,38.60711288,38.41104889,0.346086979,D9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:5,1.0,288.8430361183436,1,0,0,34.57901001,34.96810532,0.469782978,D10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
