Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201118_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-18 13:05:14 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
C7,SCr-455-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.75807571,31.93324852,0.323163509,327.7711792,296.947113,57.58530426,FALSE,0.1,TRUE,3,28,,N,N,N,N
C8,SCr-455-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.73549461,31.93324852,0.323163509,332.5593567,296.947113,57.58530426,FALSE,0.1,TRUE,3,28,,N,N,N,N
C9,SCr-455-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.30617905,31.93324852,0.323163509,230.5108337,296.947113,57.58530426,FALSE,0.1,TRUE,3,29,,N,N,N,N
C10,SCr-009,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.89453125,0.594922006,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C11,SCr-009,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.31520462,36.89453125,0.594922006,9.237438202,12.54726791,4.680806637,FALSE,0.1,TRUE,3,34,,Y,N,N,N
C12,SCr-009,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.47385788,36.89453125,0.594922006,15.85709858,12.54726791,4.680806637,FALSE,0.1,TRUE,3,32,,Y,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.62783623,30.51780891,0.109088913,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.40968323,30.51780891,0.109088913,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.51590919,30.51780891,0.109088913,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D4,SCr-458,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.30451584,30.31954956,0.070695192,833.689209,826.2421875,37.24478912,FALSE,0.1,TRUE,3,27,,N,N,N,N
D5,SCr-458,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.39655495,30.31954956,0.070695192,785.8365479,826.2421875,37.24478912,FALSE,0.1,TRUE,3,26,,N,N,N,N
D6,SCr-458,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.25758362,30.31954956,0.070695192,859.2008667,826.2421875,37.24478912,FALSE,0.1,TRUE,3,27,,N,N,N,N
D7,SCr-458-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.96089172,32.66175079,0.262255311,151.3825989,185.1368866,29.70706558,FALSE,0.1,TRUE,3,29,,N,N,N,N
D8,SCr-458-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.55297089,32.66175079,0.262255311,196.7229614,185.1368866,29.70706558,FALSE,0.1,TRUE,3,29,,N,N,N,N
D9,SCr-458-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.47138977,32.66175079,0.262255311,207.3051147,185.1368866,29.70706558,FALSE,0.1,TRUE,3,28,,N,N,N,N
D10,SCr-009-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.49326324,37.49326324,,8.239230156,8.239230156,,FALSE,0.1,TRUE,3,33,,N,N,N,N
D11,SCr-009-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.49326324,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
D12,SCr-009-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.49326324,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.72250366,33.38865662,0.484260231,100,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.61021423,33.38865662,0.484260231,100,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
