target,count,mean,std,min,25%,50%,75%,max
coho,674.0,8.153581815088103,28.170389581830506,0.0,0.0,2.319404568307552,9.052482960877619,636.2263161953334
trout,674.0,62.164264714249896,276.23498399261155,0.0,14.848638632580935,35.233061713132834,63.81805363529844,6975.664839544361
