Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201028_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-28 11:45:25 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
C9,SCr-342-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.86050415,33.1099968,0.241126612,128.482254,110.5896225,16.94950294,FALSE,0.1,TRUE,3,29,,N,N
C10,SCr-349,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.30687523,30.27505302,0.098055281,645.68927,659.6636353,41.42385864,FALSE,0.1,TRUE,3,27,,N,N
C11,SCr-349,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.16503906,30.27505302,0.098055281,706.2674561,659.6636353,41.42385864,FALSE,0.1,TRUE,3,26,,N,N
C12,SCr-349,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.35324478,30.27505302,0.098055281,627.0343018,659.6636353,41.42385864,FALSE,0.1,TRUE,3,26,,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.35422516,28.44980812,0.116732866,1000,,,FALSE,0.1,TRUE,3,25,,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.41529083,28.44980812,0.116732866,1000,,,FALSE,0.1,TRUE,3,24,,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.57990646,28.44980812,0.116732866,1000,,,FALSE,0.1,TRUE,3,25,,N,N
D4,SCr-343,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.75784302,32.77908325,0.264122456,137.0982971,136.5213776,22.49235153,FALSE,0.1,TRUE,3,28,,N,N
D5,SCr-343,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.05318451,32.77908325,0.264122456,113.7461243,136.5213776,22.49235153,FALSE,0.1,TRUE,3,30,,N,N
D6,SCr-343,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.52622223,32.77908325,0.264122456,158.7197266,136.5213776,22.49235153,FALSE,0.1,TRUE,3,29,,N,N
D7,SCr-343-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.97512054,33.08874512,0.504677415,119.5010071,114.8940811,34.36145782,FALSE,0.1,TRUE,3,30,,Y,N
D8,SCr-343-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.6505661,33.08874512,0.504677415,146.7196655,114.8940811,34.36145782,FALSE,0.1,TRUE,3,29,,Y,N
D9,SCr-343-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.64054871,33.08874512,0.504677415,78.46157074,114.8940811,34.36145782,FALSE,0.1,TRUE,3,29,,Y,N
D10,SCr-349-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.66712761,31.61651421,0.249606505,273.2265015,284.4942932,45.76774979,FALSE,0.1,TRUE,3,28,,N,N
D11,SCr-349-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.34547806,31.61651421,0.249606505,334.8435669,284.4942932,45.76774979,FALSE,0.1,TRUE,3,28,,N,N
D12,SCr-349-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.83693314,31.61651421,0.249606505,245.4128265,284.4942932,45.76774979,FALSE,0.1,TRUE,3,28,,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.78973007,34.2625885,0.465435624,100,,,FALSE,0.1,TRUE,3,31,,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.08968353,34.2625885,0.465435624,100,,,FALSE,0.1,TRUE,3,31,,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.90834808,34.2625885,0.465435624,100,,,FALSE,0.1,TRUE,3,30,,N,N
E4,SCr-344,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.80398178,36.70386887,0.090895094,10.61782074,11.32398605,0.643893898,FALSE,0.1,TRUE,3,31,,N,N
E5,SCr-344,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.68110657,36.70386887,0.090895094,11.47558117,11.32398605,0.643893898,FALSE,0.1,TRUE,3,32,,N,N
E6,SCr-344,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.62651825,36.70386887,0.090895094,11.87855625,11.32398605,0.643893898,FALSE,0.1,TRUE,3,32,,N,N
E7,SCr-344-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.93477631,32.97847748,0.048238821,122.5883942,119.2844238,3.624089956,FALSE,0.1,TRUE,3,30,,N,N
E8,SCr-344-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.03023911,32.97847748,0.048238821,115.408287,119.2844238,3.624089956,FALSE,0.1,TRUE,3,29,,N,N
E9,SCr-344-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.97042084,32.97847748,0.048238821,119.8566132,119.2844238,3.624089956,FALSE,0.1,TRUE,3,29,,N,N
E10,SCr-350,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51803589,31.68804359,0.210938692,300.2345581,271.2078247,35.06127548,FALSE,0.1,TRUE,3,28,,N,N
E11,SCr-350,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.62199211,31.68804359,0.210938692,281.1358337,271.2078247,35.06127548,FALSE,0.1,TRUE,3,28,,N,N
E12,SCr-350,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.92410469,31.68804359,0.210938692,232.2531128,271.2078247,35.06127548,FALSE,0.1,TRUE,3,29,,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.41791534,37.07022858,1.593048453,10,,,FALSE,0.1,TRUE,3,32,,Y,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.5965271,37.07022858,1.593048453,10,,,FALSE,0.1,TRUE,3,35,,Y,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.1962471,37.07022858,1.593048453,10,,,FALSE,0.1,TRUE,3,34,,Y,N
F4,SCr-345,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.91506195,32.89052963,0.050262745,124.1259384,126.1090012,4.042397022,FALSE,0.1,TRUE,3,28,,N,N
F5,SCr-345,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.92381287,32.89052963,0.050262745,123.4410782,126.1090012,4.042397022,FALSE,0.1,TRUE,3,28,,N,N
F6,SCr-345,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.83271027,32.89052963,0.050262745,130.7599792,126.1090012,4.042397022,FALSE,0.1,TRUE,3,29,,N,N
F7,SCr-345-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.04689789,32.89105606,0.637275159,114.1991272,133.2568817,55.97761536,FALSE,0.1,TRUE,3,30,,Y,N
F8,SCr-345-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.43595505,32.89105606,0.637275159,89.29655457,133.2568817,55.97761536,FALSE,0.1,TRUE,3,30,,Y,N
F9,SCr-345-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.19031525,32.89105606,0.637275159,196.2749634,133.2568817,55.97761536,FALSE,0.1,TRUE,3,28,,Y,N
F10,SCr-350-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.98739624,33.13338089,0.184451312,118.5771103,108.6045837,12.31402779,FALSE,0.1,TRUE,3,30,,N,N
F11,SCr-350-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.34068298,33.13338089,0.184451312,94.84069061,108.6045837,12.31402779,FALSE,0.1,TRUE,3,30,,N,N
F12,SCr-350-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.07207108,33.13338089,0.184451312,112.3959579,108.6045837,12.31402779,FALSE,0.1,TRUE,3,29,,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.55089569,,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.55089569,37.55089569,,5,,,FALSE,0.1,TRUE,3,34,,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.55089569,,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G4,SCr-346,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N
G5,SCr-346,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,33,,N,N
