Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201210_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-12-10 14:39:29 PM PST,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
D1,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.09575844,30.05745506,0.043074939,1000,,,FALSE,0.1,TRUE,3,26,
D2,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.06578064,30.05745506,0.043074939,1000,,,FALSE,0.1,TRUE,3,26,
D3,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.0108242,30.05745506,0.043074939,1000,,,FALSE,0.1,TRUE,3,26,
D4,SCr-034,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.79364395,37.20901489,0.389050722,11.95247364,9.280283928,2.441608667,FALSE,0.1,TRUE,3,33,
D5,SCr-034,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.56489182,37.20901489,0.389050722,7.165726185,9.280283928,2.441608667,FALSE,0.1,TRUE,3,33,
D6,SCr-034,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.26850891,37.20901489,0.389050722,8.722651482,9.280283928,2.441608667,FALSE,0.1,TRUE,3,33,
D7,SCr-034-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
D8,SCr-034-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,1,3,
D9,SCr-034-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,1,3,
D10,SCr-062-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.54774094,,,,,FALSE,0.1,TRUE,3,39,
D11,SCr-062-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.54774094,37.54774094,,7.247719765,7.247719765,,FALSE,0.1,TRUE,3,33,
D12,SCr-062-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.54774094,,,,,FALSE,0.1,TRUE,3,39,
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.25593567,33.45178223,0.320438266,100,,,FALSE,0.1,TRUE,3,29,
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.82157516,33.45178223,0.320438266,100,,,FALSE,0.1,TRUE,3,29,
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.27783203,33.45178223,0.320438266,100,,,FALSE,0.1,TRUE,3,29,
E4,SCr-035,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.5538559,37.2781105,0.320212871,7.218379021,8.801234245,1.922916889,FALSE,0.1,TRUE,3,33,
E5,SCr-035,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.92690659,37.2781105,0.320212871,10.94119263,8.801234245,1.922916889,FALSE,0.1,TRUE,3,33,
E6,SCr-035,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.3535614,37.2781105,0.320212871,8.244129181,8.801234245,1.922916889,FALSE,0.1,TRUE,3,33,
E7,SCr-035-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.59725189,37.79100037,0.27400443,7.013539314,6.218632698,1.124168038,FALSE,0.1,TRUE,3,34,
E8,SCr-035-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.98475266,37.79100037,0.27400443,5.423725605,6.218632698,1.124168038,FALSE,0.1,TRUE,3,34,
E9,SCr-035-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.79100037,0.27400443,,,,FALSE,0.1,TRUE,3,5,
E10,SCr-066,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.06748581,38.13046265,0.18339397,5.134074688,4.947879791,0.584084928,FALSE,0.1,TRUE,3,34,
E11,SCr-066,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.98685455,38.13046265,0.18339397,5.416168213,4.947879791,0.584084928,FALSE,0.1,TRUE,3,34,
E12,SCr-066,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.33704758,38.13046265,0.18339397,4.29339695,4.947879791,0.584084928,FALSE,0.1,TRUE,3,34,
F1,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.96242142,36.74394608,0.2443946,10,,,FALSE,0.1,TRUE,3,33,
F2,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.78940201,36.74394608,0.2443946,10,,,FALSE,0.1,TRUE,3,32,
F3,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.4800148,36.74394608,0.2443946,10,,,FALSE,0.1,TRUE,3,32,
F4,SCr-042,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.21847534,36.09740829,0.480220765,17.50510406,19.64045143,6.506443501,FALSE,0.1,TRUE,3,32,
F5,SCr-042,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.50551224,36.09740829,0.480220765,14.47001457,19.64045143,6.506443501,FALSE,0.1,TRUE,3,33,
F6,SCr-042,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.56824112,36.09740829,0.480220765,26.94623566,19.64045143,6.506443501,FALSE,0.1,TRUE,3,31,
F7,SCr-042-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F8,SCr-042-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F9,SCr-042-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,1,3,
F10,SCr-066-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F11,SCr-066-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F12,SCr-066-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G1,,O.kisutch,STANDARD,FAM,NFQ-MGB,39.02590179,38.55213928,1.29847455,5,,,FALSE,0.1,TRUE,3,35,
G2,,O.kisutch,STANDARD,FAM,NFQ-MGB,39.54720688,38.55213928,1.29847455,5,,,FALSE,0.1,TRUE,3,35,
G3,,O.kisutch,STANDARD,FAM,NFQ-MGB,37.08330917,38.55213928,1.29847455,5,,,FALSE,0.1,TRUE,3,33,
G4,SCr-045,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.49651337,37.50828552,0.261120588,7.498253822,7.514234066,1.289243817,FALSE,0.1,TRUE,3,34,
G5,SCr-045,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.77509308,37.50828552,0.261120588,6.233054638,7.514234066,1.289243817,FALSE,0.1,TRUE,3,34,
G6,SCr-045,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.25325012,37.50828552,0.261120588,8.811393738,7.514234066,1.289243817,FALSE,0.1,TRUE,3,33,
