Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201124_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-24 13:24:23 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
C5,SCr-255,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.44564438,32.76155472,0.279755652,56.41089249,45.71101379,9.415599823,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
C6,SCr-255,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.86106873,32.76155472,0.279755652,42.03079605,45.71101379,9.415599823,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
C7,SCr-255-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.41785812,32.53609848,0.115407996,57.53216934,53.02816391,4.344760418,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
C8,SCr-255-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.64844894,32.53609848,0.115407996,48.86242294,53.02816391,4.344760418,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
C9,SCr-255-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.54198074,32.53609848,0.115407996,52.68990326,53.02816391,4.344760418,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
C10,SCr-039,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.30596542,34.17950439,0.663013697,15.10357475,17.80929375,8.615767479,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
C11,SCr-039,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.46236801,34.17950439,0.663013697,27.45315742,17.80929375,8.615767479,FALSE,0.1,TRUE,3,29,,Y,N,N,N,N
C12,SCr-039,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.77017975,34.17950439,0.663013697,10.8711462,17.80929375,8.615767479,FALSE,0.1,TRUE,3,30,,Y,N,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.05784798,28.97322655,0.080394797,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.89785957,28.97322655,0.080394797,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.96397018,28.97322655,0.080394797,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N,N,N
D4,SCr-258,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.10728073,39.60202026,0.44782266,0.503581882,0.367172092,0.121294722,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
D5,SCr-258,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.97965622,39.60202026,0.44782266,0.271459281,0.367172092,0.121294722,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
D6,SCr-258,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.71912766,39.60202026,0.44782266,0.326475084,0.367172092,0.121294722,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
D7,SCr-258-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.68743896,32.70608521,0.284392387,47.5314064,47.54026413,9.435324669,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
D8,SCr-258-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.99934006,32.70608521,0.284392387,38.10936737,47.54026413,9.435324669,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
D9,SCr-258-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.43147278,32.70608521,0.284392387,56.98001099,47.54026413,9.435324669,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
D10,SCr-039-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.58023071,36.85581589,1.191329956,1.485355735,3.20728755,2.913651943,FALSE,0.1,TRUE,3,34,,Y,N,N,N,N
D11,SCr-039-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.48084641,36.85581589,1.191329956,6.571367741,3.20728755,2.913651943,FALSE,0.1,TRUE,3,33,,Y,N,N,N,N
D12,SCr-039-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.50636673,36.85581589,1.191329956,1.565139174,3.20728755,2.913651943,FALSE,0.1,TRUE,3,34,,Y,N,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.34042358,30.66184044,0.403378844,100,,,FALSE,0.1,TRUE,3,26,,N,N,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.11449432,30.66184044,0.403378844,100,,,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.53059769,30.66184044,0.403378844,100,,,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
E4,SCr-261,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.26255798,37.44313431,0.237153143,1.860179543,1.651852727,0.265233457,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
E5,SCr-261,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.35513687,37.44313431,0.237153143,1.742108464,1.651852727,0.265233457,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
E6,SCr-261,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.71170807,37.44313431,0.237153143,1.353270411,1.651852727,0.265233457,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
E7,SCr-261-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.90403748,37.76428223,0.197643772,1.18091619,1.310194969,0.18282789,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
E8,SCr-261-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.62452698,37.76428223,0.197643772,1.439473867,1.310194969,0.18282789,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
E9,SCr-261-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.76428223,0.197643772,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
E10,SCr-044,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.24373627,39.23481369,0.763558388,0.457185894,0.506195605,0.265377402,FALSE,0.1,TRUE,3,35,,Y,N,N,N,N
E11,SCr-044,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.46683502,39.23481369,0.763558388,0.792661726,0.506195605,0.265377402,FALSE,0.1,TRUE,3,33,,Y,N,N,N,N
E12,SCr-044,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.9938736,39.23481369,0.763558388,0.268739223,0.506195605,0.265377402,FALSE,0.1,TRUE,3,35,,Y,N,N,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.45200729,34.81596756,0.564701557,10,,,FALSE,0.1,TRUE,3,32,,Y,N,N,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.62237167,34.81596756,0.564701557,10,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.37353134,34.81596756,0.564701557,10,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
F4,SCr-262,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F5,SCr-262,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F6,SCr-262,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F7,SCr-262-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F8,SCr-262-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F9,SCr-262-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F10,SCr-044-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
F11,SCr-044-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,8,,N,N,N,N,N
F12,SCr-044-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,N,Y
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.29264069,36.40964508,0.165466502,5,,,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.52664566,36.40964508,0.165466502,5,,,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,36.40964508,0.165466502,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
G4,SCr-264,O.mykiss,UNKNOWN,FAM,NFQ-MGB,39.90214539,39.41205597,0.693088412,0.286780119,0.430498779,0.203248873,FALSE,0.1,TRUE,3,37,,Y,N,N,N,Y
