Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\S1P_data\eds_files\20201027_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP
B6,SCr-381,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.80444717,32.75479507,0.119766608,149.6603394,154.7086792,11.88035774,FALSE,0.1,TRUE,3,29,,N
B7,SCr-381-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.8181076,33.83366394,0.098475337,79.06076813,78.39011383,4.822618961,FALSE,0.1,TRUE,3,30,,N
B8,SCr-381-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.74389267,33.83366394,0.098475337,82.84230804,78.39011383,4.822618961,FALSE,0.1,TRUE,3,30,,N
B9,SCr-381-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.93899155,33.83366394,0.098475337,73.26727295,78.39011383,4.822618961,FALSE,0.1,TRUE,3,30,,N
B10,SCr-336-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.67432976,31.70289421,0.033229385,304.8547974,299.4653625,6.242257118,FALSE,0.1,TRUE,3,28,,N
B11,SCr-336-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.69498825,31.70289421,0.033229385,300.9156494,299.4653625,6.242257118,FALSE,0.1,TRUE,3,28,,N
B12,SCr-336-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.73936272,31.70289421,0.033229385,292.6256104,299.4653625,6.242257118,FALSE,0.1,TRUE,3,27,,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.97398567,25.86109161,0.102032848,10000,,,FALSE,0.1,TRUE,3,22,,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.83383751,25.86109161,0.102032848,10000,,,FALSE,0.1,TRUE,3,22,,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.77545547,25.86109161,0.102032848,10000,,,FALSE,0.1,TRUE,3,23,,N
C4,SCr-382,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.53538132,31.88303185,0.333069175,332.7231445,271.2911987,57.38786697,FALSE,0.1,TRUE,3,27,,N
C5,SCr-382,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.91440773,31.88303185,0.333069175,262.0916138,271.2911987,57.38786697,FALSE,0.1,TRUE,3,29,,N
C6,SCr-382,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.19929886,31.88303185,0.333069175,219.0588531,271.2911987,57.38786697,FALSE,0.1,TRUE,3,28,,N
C7,SCr-382-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.86206818,34.28949738,0.370352894,76.90272522,59.87685013,14.74978638,FALSE,0.1,TRUE,3,29,,N
