Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201005_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-05 11:34:47 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG
C7,SCr-213-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.84585381,31.83226013,0.698170781,102.2888336,111.1443481,51.5662117,FALSE,0.1,TRUE,3,29,,Y,N
C8,SCr-213-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.12738991,31.83226013,0.698170781,166.5648346,111.1443481,51.5662117,FALSE,0.1,TRUE,3,28,,Y,N
C9,SCr-213-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.52353287,31.83226013,0.698170781,64.57936096,111.1443481,51.5662117,FALSE,0.1,TRUE,3,29,,Y,N
C10,SCr-220,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.28196144,30.53284454,0.271958023,295.637207,252.1569824,45.4617424,FALSE,0.1,TRUE,3,26,,N,N
C11,SCr-220,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.49471664,30.53284454,0.271958023,255.8898773,252.1569824,45.4617424,FALSE,0.1,TRUE,3,27,,N,N
C12,SCr-220,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.82185364,30.53284454,0.271958023,204.9438934,252.1569824,45.4617424,FALSE,0.1,TRUE,3,28,,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.33996391,28.30307961,0.052244443,1000,,,FALSE,0.1,TRUE,3,25,,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.24329567,28.30307961,0.052244443,1000,,,FALSE,0.1,TRUE,3,25,,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,28.32597923,28.30307961,0.052244443,1000,,,FALSE,0.1,TRUE,3,25,,N,N
D4,SCr-214,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.02005196,28.98195076,0.072912633,696.1224365,714.9450073,35.86078262,FALSE,0.1,TRUE,3,27,,N,N
D5,SCr-214,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.02792168,28.98195076,0.072912633,692.4144897,714.9450073,35.86078262,FALSE,0.1,TRUE,3,26,,N,N
D6,SCr-214,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.89788246,28.98195076,0.072912633,756.2980957,714.9450073,35.86078262,FALSE,0.1,TRUE,3,25,,N,N
D7,SCr-214-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.36201096,30.58499718,0.206605583,280.0050354,242.2818604,34.51185608,FALSE,0.1,TRUE,3,27,,N,N
