Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-04-03 12:57:18 -07:00,93.54,2019-04-03 13:02:57 -07:00,93.54,2019-04-03 13:12:03 -07:00,93.55,0:09:05,2000,266.2,1733.8,deployed,SCr,30,SCr-30
bac wcr,2019-04-03 18:04:32 -07:00,93.75,2019-04-03 18:10:06 -07:00,93.76,2019-04-03 18:19:56 -07:00,93.76,0:09:50,2000,346.8,1653.2,deployed,SCr,31,SCr-31
bac wcr,2019-04-04 05:24:43 -07:00,94.23,2019-04-04 05:30:17 -07:00,94.23,2019-04-04 05:41:44 -07:00,94.24,0:11:27,2000,391.6,1608.4,deployed,SCr,32,SCr-32
bac wcr,2019-04-04 11:04:26 -07:00,94.46,2019-04-04 11:10:00 -07:00,94.47,2019-04-04 11:18:48 -07:00,94.47,0:08:48,2000,296.5,1703.5,deployed,SCr,33,SCr-33
bac wcr,2019-04-04 17:04:41 -07:00,94.71,2019-04-04 17:10:14 -07:00,94.72,2019-04-04 17:26:50 -07:00,94.73,0:16:35,2000,346.2,1653.8,deployed,SCr,34,SCr-34
bac wcr,2019-04-05 06:04:37 -07:00,95.25,2019-04-05 06:10:12 -07:00,95.26,2019-04-05 06:23:24 -07:00,95.27,0:13:11,2000,200,1800,deployed,SCr,35,SCr-35
bac wcr,2019-04-05 12:04:32 -07:00,95.5,2019-04-05 12:10:07 -07:00,95.51,2019-04-05 12:23:27 -07:00,95.52,0:13:20,2000,346.6,1653.4,deployed,SCr,36,SCr-36
bac wcr,2019-04-05 18:04:32 -07:00,95.75,2019-04-05 18:10:07 -07:00,95.76,2019-04-05 18:19:55 -07:00,95.76,0:09:47,2000,300,1700,deployed,SCr,37,SCr-37
bac wcr,2019-04-06 06:04:36 -07:00,96.25,2019-04-06 06:10:10 -07:00,96.26,2019-04-06 06:26:48 -07:00,96.27,0:16:38,2000,446.4,1553.6,deployed,SCr,38,SCr-38
bac wcr,2019-04-06 12:04:31 -07:00,96.5,2019-04-06 12:10:15 -07:00,96.51,2019-04-06 12:26:16 -07:00,96.52,0:16:00,2000,400,1600,deployed,SCr,39,SCr-39
bac wcr,2019-04-06 18:04:08 -07:00,96.75,2019-04-06 18:09:43 -07:00,96.76,2019-04-06 18:22:03 -07:00,96.77,0:12:19,2000,425,1575,deployed,SCr,40,SCr-40
bac wcr,2019-04-07 06:04:35 -07:00,97.25,2019-04-07 06:10:11 -07:00,97.26,2019-04-07 06:20:24 -07:00,97.26,0:10:13,2000,200,1800,deployed,SCr,41,SCr-41
bac wcr,2019-04-07 12:04:33 -07:00,97.5,2019-04-07 12:10:17 -07:00,97.51,2019-04-07 12:26:25 -07:00,97.52,0:16:07,2000,375,1625,deployed,SCr,42,SCr-42
bac wcr,2019-04-07 18:04:42 -07:00,97.75,2019-04-07 18:10:17 -07:00,97.76,2019-04-07 18:24:04 -07:00,97.77,0:13:46,2000,399.8,1600.2,deployed,SCr,43,SCr-43
bac wcr,2019-04-08 06:04:35 -07:00,98.25,2019-04-08 06:10:11 -07:00,98.26,2019-04-08 06:24:00 -07:00,98.27,0:13:48,2000,375,1625,deployed,SCr,44,SCr-44
bac wcr,2019-04-08 11:54:33 -07:00,98.5,2019-04-08 12:00:08 -07:00,98.5,2019-04-08 12:17:11 -07:00,98.51,0:17:02,2000,450,1550,deployed,SCr,45,SCr-45
bac wcr,2019-04-08 17:54:44 -07:00,98.75,2019-04-08 18:00:19 -07:00,98.75,2019-04-08 18:12:18 -07:00,98.76,0:11:58,2000,375,1625,deployed,SCr,46,SCr-46
bac wcr,2019-04-09 05:54:37 -07:00,99.25,2019-04-09 06:00:11 -07:00,99.25,2019-04-09 06:14:49 -07:00,99.26,0:14:37,2000,200,1800,deployed,SCr,47,SCr-47
bac wcr,2019-04-09 11:54:33 -07:00,99.5,2019-04-09 12:00:08 -07:00,99.5,2019-04-09 12:16:00 -07:00,99.51,0:15:52,2000,450,1550,deployed,SCr,48,SCr-48
bac wcr,2019-04-09 17:54:33 -07:00,99.75,2019-04-09 18:00:09 -07:00,99.75,2019-04-09 18:12:05 -07:00,99.76,0:11:55,2000,325,1675,deployed,SCr,49,SCr-49
bac wcr,2019-04-10 06:04:38 -07:00,100.25,2019-04-10 06:10:14 -07:00,100.26,2019-04-10 06:42:22 -07:00,100.28,0:32:08,2000,475,1525,deployed,SCr,50,SCr-50
bac wcr,2019-04-10 12:04:34 -07:00,100.5,2019-04-10 12:10:09 -07:00,100.51,2019-04-10 12:45:50 -07:00,100.53,0:35:41,2000,600,1400,deployed,SCr,51,SCr-51
bac wcr,2019-04-10 18:04:33 -07:00,100.75,2019-04-10 18:10:10 -07:00,100.76,2019-04-10 18:47:38 -07:00,100.78,0:37:28,2000,575,1425,deployed,SCr,52,SCr-52
bac wcr,2019-04-11 06:04:48 -07:00,101.25,2019-04-11 06:10:24 -07:00,101.26,2019-04-11 06:42:47 -07:00,101.28,0:32:22,2000,325,1675,deployed,SCr,53,SCr-53
bac wcr,2019-04-11 12:04:37 -07:00,101.5,2019-04-11 12:10:12 -07:00,101.51,2019-04-11 12:47:26 -07:00,101.53,0:37:13,2000,525,1475,deployed,SCr,54,SCr-54
bac wcr,2019-04-11 18:04:34 -07:00,101.75,2019-04-11 18:10:11 -07:00,101.76,2019-04-11 18:36:45 -07:00,101.78,0:26:33,2000,525,1475,deployed,SCr,55,SCr-55
bac wcr,2019-04-12 06:04:37 -07:00,102.25,2019-04-12 06:10:13 -07:00,102.26,2019-04-12 06:45:04 -07:00,102.28,0:34:51,2000,523.8,1476.2,deployed,SCr,56,SCr-56
bac wcr,2019-04-12 11:54:35 -07:00,102.5,2019-04-12 12:00:11 -07:00,102.5,2019-04-12 12:41:04 -07:00,102.53,0:40:52,2000,575,1425,deployed,SCr,57,SCr-57
bac wcr,2019-04-12 17:54:34 -07:00,102.75,2019-04-12 18:00:12 -07:00,102.75,2019-04-12 18:41:14 -07:00,102.78,0:41:02,2000,600,1400,deployed,SCr,58,SCr-58
bac wcr,2019-04-13 06:04:37 -07:00,103.25,2019-04-13 06:10:13 -07:00,103.26,2019-04-13 06:40:35 -07:00,103.28,0:30:21,2000,275,1725,deployed,SCr,59,SCr-59
bac wcr,2019-04-13 12:04:42 -07:00,103.5,2019-04-13 12:10:18 -07:00,103.51,2019-04-13 12:49:38 -07:00,103.53,0:39:20,2000,600,1400,deployed,SCr,60,SCr-60
bac wcr,2019-04-13 18:04:01 -07:00,103.75,2019-04-13 18:09:37 -07:00,103.76,2019-04-13 18:53:27 -07:00,103.79,0:43:49,2000,573.9,1426.1,deployed,SCr,61,SCr-61
bac wcr,2019-04-14 06:04:39 -07:00,104.25,2019-04-14 06:10:16 -07:00,104.26,2019-04-14 06:38:32 -07:00,104.28,0:28:16,2000,600,1400,deployed,SCr,62,SCr-62
bac wcr,2019-04-14 12:04:33 -07:00,104.5,2019-04-14 12:10:19 -07:00,104.51,2019-04-14 12:51:38 -07:00,104.54,0:41:18,2000,600,1400,deployed,SCr,63,SCr-63
bac wcr,2019-04-14 18:04:33 -07:00,104.75,2019-04-14 18:10:11 -07:00,104.76,2019-04-14 18:48:06 -07:00,104.78,0:37:54,2000,650,1350,deployed,SCr,64,SCr-64
bac wcr,2019-04-15 06:04:38 -07:00,105.25,2019-04-15 06:10:15 -07:00,105.26,2019-04-15 06:45:10 -07:00,105.28,0:34:54,2000,325,1675,deployed,SCr,65,SCr-65
bac wcr,2019-04-15 12:04:33 -07:00,105.5,2019-04-15 12:10:09 -07:00,105.51,2019-04-15 12:50:22 -07:00,105.53,0:40:13,2000,575,1425,deployed,SCr,66,SCr-66
bac wcr,2019-04-15 18:04:33 -07:00,105.75,2019-04-15 18:10:09 -07:00,105.76,2019-04-15 18:45:18 -07:00,105.78,0:35:08,2000,575,1425,deployed,SCr,67,SCr-67
bac wcr,2019-04-16 06:04:38 -07:00,106.25,2019-04-16 06:10:16 -07:00,106.26,2019-04-16 06:43:09 -07:00,106.28,0:32:52,2000,550,1450,deployed,SCr,68,SCr-68
bac wcr,2019-04-16 11:54:45 -07:00,106.5,2019-04-16 12:00:22 -07:00,106.5,2019-04-16 12:37:09 -07:00,106.53,0:36:46,2000,525.1,1474.9,deployed,SCr,69,SCr-69
bac wcr,2019-04-16 17:54:34 -07:00,106.75,2019-04-16 18:00:11 -07:00,106.75,2019-04-16 18:39:38 -07:00,106.78,0:39:26,2000,500,1500,deployed,SCr,70,SCr-70
bac wcr,2019-04-17 06:04:39 -07:00,107.25,2019-04-17 06:05:49 -07:00,107.25,2019-04-17 06:44:15 -07:00,107.28,0:38:26,2000,375,1625,deployed,SCr,71,SCr-71
bac wcr,2019-04-17 12:00:07 -07:00,107.5,2019-04-17 12:05:44 -07:00,107.5,2019-04-17 12:48:16 -07:00,107.53,0:42:32,2000,550,1450,deployed,SCr,72,SCr-72
bac wcr,2019-04-17 18:00:05 -07:00,107.75,2019-04-17 18:05:42 -07:00,107.75,2019-04-17 18:46:45 -07:00,107.78,0:41:02,2000,725,1275,deployed,SCr,73,SCr-73
bac wcr,2019-04-18 06:04:39 -07:00,108.25,2019-04-18 06:10:16 -07:00,108.26,2019-04-18 06:48:04 -07:00,108.28,0:37:48,2000,574.7,1425.3,deployed,SCr,74,SCr-74
bac wcr,2019-04-18 12:04:36 -07:00,108.5,2019-04-18 12:10:17 -07:00,108.51,2019-04-18 12:56:44 -07:00,108.54,0:46:26,2000,675,1325,deployed,SCr,75,SCr-75
bac wcr,2019-04-18 18:04:35 -07:00,108.75,2019-04-18 18:10:13 -07:00,108.76,2019-04-18 18:37:39 -07:00,108.78,0:27:26,2000,625,1375,deployed,SCr,76,SCr-76
bac wcr,2019-04-19 06:04:38 -07:00,109.25,2019-04-19 06:10:16 -07:00,109.26,2019-04-19 06:49:07 -07:00,109.28,0:38:50,2000,350,1650,deployed,SCr,77,SCr-77
bac wcr,2019-04-19 12:04:28 -07:00,109.5,2019-04-19 12:10:08 -07:00,109.51,2019-04-19 12:49:31 -07:00,109.53,0:39:23,2000,625,1375,deployed,SCr,78,SCr-78
bac wcr,2019-04-19 18:04:28 -07:00,109.75,2019-04-19 18:10:07 -07:00,109.76,2019-04-19 18:56:50 -07:00,109.79,0:46:43,2000,725.1,1274.9,deployed,SCr,79,SCr-79
bac wcr,2019-04-20 05:44:38 -07:00,110.24,2019-04-20 05:50:16 -07:00,110.24,2019-04-20 06:36:14 -07:00,110.28,0:45:58,2000,698.6,1301.4,deployed,SCr,80,SCr-80
