sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,id,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
2019-03-31 17:15:46,2019-03-31 17:04:40,2019-03-31 17:10:13,2019-03-31 17:21:19,11.1,2000,244.7,1755.3,deployed,SCr-22,Waldo,Waldo_2019_Scott_Creek_20210223.csv,22.045045045045043,2019-03-31,17,2,1
2019-04-01 05:14:43,2019-04-01 05:04:44,2019-04-01 05:10:17,2019-04-01 05:19:09,8.87,2000,125.0,1875.0,deployed,SCr-23,Waldo,Waldo_2019_Scott_Creek_20210223.csv,14.092446448703496,2019-04-01,5,0,1
2019-04-01 11:11:28,2019-04-01 11:04:41,2019-04-01 11:11:02,2019-04-01 11:11:53,0.85,2000,2.0,1998.0,deployed,SCr-24,Waldo,Waldo_2019_Scott_Creek_20210223.csv,2.3529411764705883,2019-04-01,11,1,1
2019-04-01 17:42:13,2019-04-01 17:31:38,2019-04-01 17:37:11,2019-04-01 17:47:15,10.07,2000,316.6,1683.4,deployed,SCr-25,Waldo,Waldo_2019_Scott_Creek_20210223.csv,31.43992055610725,2019-04-01,18,2,1
2019-04-02 05:13:34,2019-04-02 05:04:34,2019-04-02 05:10:08,2019-04-02 05:17:01,6.88,2000,223.5,1776.5,deployed,SCr-26,Waldo,Waldo_2019_Scott_Creek_20210223.csv,32.48546511627907,2019-04-02,5,0,1
2019-04-02 11:14:00,2019-04-02 11:04:29,2019-04-02 11:10:01,2019-04-02 11:18:00,7.97,2000,300.0,1700.0,deployed,SCr-27,Waldo,Waldo_2019_Scott_Creek_20210223.csv,37.641154328732746,2019-04-02,11,1,1
2019-04-02 17:14:35,2019-04-02 17:04:30,2019-04-02 17:10:04,2019-04-02 17:19:06,9.03,2000,267.1,1732.9,deployed,SCr-28,Waldo,Waldo_2019_Scott_Creek_20210223.csv,29.57918050941307,2019-04-02,17,2,1
2019-04-03 05:02:28,2019-04-03 04:54:34,2019-04-03 05:00:08,2019-04-03 05:04:49,4.68,2000,125.0,1875.0,deployed,SCr-29,Waldo,Waldo_2019_Scott_Creek_20210223.csv,26.70940170940171,2019-04-03,5,0,1
2019-04-03 12:07:30,2019-04-03 11:57:18,2019-04-03 12:02:57,2019-04-03 12:12:03,9.08,2000,266.2,1733.8,deployed,SCr-30,Waldo,Waldo_2019_Scott_Creek_20210223.csv,29.317180616740085,2019-04-03,12,1,1
2019-04-03 17:15:01,2019-04-03 17:04:32,2019-04-03 17:10:06,2019-04-03 17:19:56,9.83,2000,346.8,1653.2,deployed,SCr-31,Waldo,Waldo_2019_Scott_Creek_20210223.csv,35.27975584944049,2019-04-03,17,2,1
