"Plot Title: Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Bad Battery (LGR S/N: 20309219)","End Of File (LGR S/N: 20309219)"
128,03/24/20 08:00:00 PM,47.624,,,
129,03/24/20 08:11:06 PM,,0.29,,
130,03/24/20 09:00:00 PM,47.088,,,
131,03/24/20 10:00:00 PM,46.369,,,
132,03/24/20 11:00:00 PM,46.369,,,
133,03/25/20 12:00:00 AM,46.728,,,
134,03/25/20 01:00:00 AM,46.548,,,
135,03/25/20 02:00:00 AM,45.286,,,
136,03/25/20 03:00:00 AM,45.466,,,
137,03/25/20 03:09:07 AM,,0.30,,
138,03/25/20 03:12:43 AM,,0.31,,
139,03/25/20 03:17:29 AM,,0.32,,
140,03/25/20 03:54:11 AM,,0.33,,
141,03/25/20 04:00:00 AM,45.104,,,
142,03/25/20 04:10:58 AM,,0.34,,
143,03/25/20 04:16:21 AM,,0.35,,
144,03/25/20 05:00:00 AM,44.379,,,
145,03/25/20 05:31:09 AM,,0.36,,
146,03/25/20 05:43:12 AM,,0.37,,
147,03/25/20 05:48:35 AM,,0.38,,
148,03/25/20 06:00:00 AM,44.379,,,
149,03/25/20 07:00:00 AM,42.179,,,
150,03/25/20 08:00:00 AM,44.013,,,
151,03/25/20 09:00:00 AM,55.711,,,
152,03/25/20 10:00:00 AM,64.481,,,
153,03/25/20 11:00:00 AM,63.282,,,
154,03/25/20 12:00:00 PM,64.825,,,
155,03/25/20 01:00:00 PM,67.564,,,
156,03/25/20 02:00:00 PM,70.308,,,
157,03/25/20 03:00:00 PM,69.622,,,
158,03/25/20 04:00:00 PM,67.906,,,
159,03/25/20 05:00:00 PM,64.996,,,
160,03/25/20 06:00:00 PM,62.598,,,
161,03/25/20 06:38:52 PM,,0.39,,
162,03/25/20 07:00:00 PM,50.995,,,
163,03/25/20 08:00:00 PM,45.648,,,
164,03/25/20 09:00:00 PM,45.104,,,
165,03/25/20 10:00:00 PM,44.379,,,
166,03/25/20 11:00:00 PM,42.915,,,
167,03/26/20 12:00:00 AM,43.282,,,
168,03/26/20 01:00:00 AM,68.934,,,
169,03/26/20 01:47:58 AM,,0.40,,
170,03/26/20 01:49:24 AM,,0.41,,
171,03/26/20 01:50:22 AM,,0.42,,
172,03/26/20 01:56:31 AM,,0.43,,
173,03/26/20 02:00:00 AM,45.104,,,
174,03/26/20 03:00:00 AM,39.947,0.43,,Logged
