Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-09-27 06:04:35 -07:00,270.25,2019-09-27 06:15:10 -07:00,270.26,2019-09-27 07:13:19 -07:00,270.3,0:58:08,2000,850,1150,deployed,SCr,371,SCr-371
bac wcr,2019-09-28 06:04:37 -07:00,271.25,2019-09-28 06:15:14 -07:00,271.26,2019-09-28 07:09:33 -07:00,271.3,0:54:19,2000,875,1125,deployed,SCr,372,SCr-372
bac wcr,2019-09-29 06:04:49 -07:00,272.25,2019-09-29 06:15:25 -07:00,272.26,2019-09-29 07:05:05 -07:00,272.3,0:49:40,2000,800,1200,deployed,SCr,373,SCr-373
bac wcr,2019-09-30 06:04:38 -07:00,273.25,2019-09-30 06:15:15 -07:00,273.26,2019-09-30 07:08:36 -07:00,273.3,0:53:20,2000,825,1175,deployed,SCr,374,SCr-374
bac wcr,2019-10-01 06:04:39 -07:00,274.25,2019-10-01 06:15:28 -07:00,274.26,2019-10-01 07:12:40 -07:00,274.3,0:57:12,2000,875,1125,deployed,SCr,375,SCr-375
bac wcr,2019-10-02 06:04:40 -07:00,275.25,2019-10-02 06:15:16 -07:00,275.26,2019-10-02 07:21:20 -07:00,275.31,1:06:03,2000,875,1125,deployed,SCr,376,SCr-376
bac wcr,2019-10-03 06:04:41 -07:00,276.25,2019-10-03 06:15:17 -07:00,276.26,2019-10-03 07:23:17 -07:00,276.31,1:08:00,2000,900,1100,deployed,SCr,377,SCr-377
bac wcr,2019-10-04 06:04:39 -07:00,277.25,2019-10-04 06:15:27 -07:00,277.26,2019-10-04 07:17:20 -07:00,277.3,1:01:53,2000,875,1125,deployed,SCr,378,SCr-378
bac wcr,2019-10-05 05:54:40 -07:00,278.25,2019-10-05 06:05:34 -07:00,278.25,2019-10-05 07:14:16 -07:00,278.3,1:08:41,2000,975.1,1024.9,deployed,SCr,379,SCr-379
bac wcr,2019-10-06 05:44:48 -07:00,279.24,2019-10-06 05:55:24 -07:00,279.25,2019-10-06 07:01:07 -07:00,279.29,1:05:42,2000,925,1075,deployed,SCr,380,SCr-380
