Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-07-16 06:04:45 -07:00,197.25,2019-07-16 06:15:21 -07:00,197.26,2019-07-16 06:51:41 -07:00,197.29,0:36:20,2000,1000,1000,deployed,SCr,295,SCr-295
bac wcr,2019-07-17 06:04:44 -07:00,198.25,2019-07-17 06:15:18 -07:00,198.26,2019-07-17 06:52:39 -07:00,198.29,0:37:20,2000,825,1175,deployed,SCr,296,SCr-296
bac wcr,2019-07-18 09:17:59 -07:00,199.39,2019-07-18 09:28:35 -07:00,199.39,2019-07-18 10:26:58 -07:00,199.44,0:58:22,2000,975,1025,deployed,SCr,297,SCr-297
bac wcr,2019-07-19 06:04:43 -07:00,200.25,2019-07-19 06:15:18 -07:00,200.26,2019-07-19 06:47:33 -07:00,200.28,0:32:14,2000,950,1050,deployed,SCr,298,SCr-298
bac wcr,2019-07-20 06:04:43 -07:00,201.25,2019-07-20 06:15:19 -07:00,201.26,2019-07-20 06:52:55 -07:00,201.29,0:37:36,2000,900,1100,deployed,SCr,299,SCr-299
bac wcr,2019-07-21 09:51:59 -07:00,202.41,2019-07-21 10:02:34 -07:00,202.42,2019-07-21 11:04:34 -07:00,202.46,1:02:00,2000,1175,825,deployed,SCr,300,SCr-300
bac wcr,2019-07-22 06:04:44 -07:00,203.25,2019-07-22 06:15:22 -07:00,203.26,2019-07-22 08:35:17 -07:00,203.36,2:19:55,2000,1050,950,deployed,SCr,301,SCr-301
bac wcr,2019-07-23 06:04:48 -07:00,204.25,2019-07-23 06:15:23 -07:00,204.26,2019-07-23 09:52:19 -07:00,204.41,3:36:56,2000,975,1025,deployed,SCr,302,SCr-302
bac wcr,2019-07-24 06:04:47 -07:00,205.25,2019-07-24 06:15:24 -07:00,205.26,2019-07-24 09:46:01 -07:00,205.41,3:30:37,2000,1025,975,deployed,SCr,303,SCr-303
bac wcr,2019-07-25 06:04:53 -07:00,206.25,2019-07-25 06:15:30 -07:00,206.26,2019-07-25 08:20:30 -07:00,206.35,2:05:00,2000,183.1,1816.9,deployed,SCr,304,SCr-304
bac wcr,2019-07-26 06:04:44 -07:00,207.25,2019-07-26 06:15:22 -07:00,207.26,2019-07-26 06:59:59 -07:00,207.29,0:44:37,2000,875,1125,deployed,SCr,305,SCr-305
bac wcr,2019-07-27 06:04:54 -07:00,208.25,2019-07-27 06:15:31 -07:00,208.26,2019-07-27 07:06:37 -07:00,208.3,0:51:06,2000,800,1200,deployed,SCr,306,SCr-306
bac wcr,2019-07-28 10:25:24 -07:00,209.43,2019-07-28 10:36:02 -07:00,209.44,2019-07-28 11:37:52 -07:00,209.48,1:01:49,2000,975,1025,deployed,SCr,307,SCr-307
bac wcr,2019-07-29 09:04:44 -07:00,210.38,2019-07-29 09:15:21 -07:00,210.39,2019-07-29 10:00:00 -07:00,210.42,0:44:39,2000,900,1100,deployed,SCr,308,SCr-308
bac wcr,2019-07-30 09:04:43 -07:00,211.38,2019-07-30 09:15:21 -07:00,211.39,2019-07-30 10:11:51 -07:00,211.42,0:56:30,2000,900,1100,deployed,SCr,309,SCr-309
bac wcr,2019-07-31 09:04:44 -07:00,212.38,2019-07-31 09:15:24 -07:00,212.39,2019-07-31 09:17:11 -07:00,212.39,0:01:46,2000,6.1,1993.9,deployed,SCr,310,SCr-310
bac wcr,2019-08-01 09:04:45 -07:00,213.38,2019-08-01 09:15:23 -07:00,213.39,2019-08-01 10:22:28 -07:00,213.43,1:07:04,2000,1325.1,674.9,deployed,SCr,311,SCr-311
bac wcr,2019-08-02 09:04:44 -07:00,214.38,2019-08-02 09:15:22 -07:00,214.39,2019-08-02 10:27:25 -07:00,214.44,1:12:03,2000,1224.8,775.2,deployed,SCr,312,SCr-312
bac wcr,2019-08-03 09:04:44 -07:00,215.38,2019-08-03 09:15:23 -07:00,215.39,2019-08-03 09:17:22 -07:00,215.39,0:01:59,2000,4.5,1995.5,deployed,SCr,313,SCr-313
bac wcr,2019-08-04 09:04:43 -07:00,216.38,2019-08-04 09:15:21 -07:00,216.39,2019-08-04 10:17:34 -07:00,216.43,1:02:12,2000,975,1025,deployed,SCr,314,SCr-314
bac wcr,2019-08-05 11:18:57 -07:00,217.47,2019-08-05 11:29:36 -07:00,217.48,2019-08-05 12:30:19 -07:00,217.52,1:00:43,2000,925,1075,deployed,SCr,315,SCr-315
bac wcr,2019-08-06 09:04:46 -07:00,218.38,2019-08-06 09:15:24 -07:00,218.39,2019-08-06 10:23:11 -07:00,218.43,1:07:46,2000,1125,875,deployed,SCr,316,SCr-316
bac wcr,2019-08-08 09:04:44 -07:00,220.38,2019-08-08 09:15:22 -07:00,220.39,2019-08-08 10:24:00 -07:00,220.43,1:08:37,2000,1025,975,deployed,SCr,317,SCr-317
bac wcr,2019-08-09 09:47:29 -07:00,221.41,2019-08-09 09:58:07 -07:00,221.42,2019-08-09 11:10:02 -07:00,221.47,1:11:54,2000,1175,825,deployed,SCr,318,SCr-318
bac wcr,2019-08-10 09:04:41 -07:00,222.38,2019-08-10 09:15:21 -07:00,222.39,2019-08-10 10:25:34 -07:00,222.43,1:10:13,2000,1200.1,799.9,deployed,SCr,319,SCr-319
bac wcr,2019-08-11 09:04:43 -07:00,223.38,2019-08-11 09:15:20 -07:00,223.39,2019-08-11 10:18:52 -07:00,223.43,1:03:31,2000,1125,875,deployed,SCr,320,SCr-320
bac wcr,2019-08-12 13:16:08 -07:00,224.55,2019-08-12 13:26:57 -07:00,224.56,2019-08-12 14:31:29 -07:00,224.61,1:04:32,2000,1025,975,deployed,SCr,321,SCr-321
bac wcr,2019-08-13 09:04:44 -07:00,225.38,2019-08-13 09:15:30 -07:00,225.39,2019-08-13 10:13:35 -07:00,225.43,0:58:05,2000,925,1075,deployed,SCr,322,SCr-322
bac wcr,2019-08-14 09:04:44 -07:00,226.38,2019-08-14 09:15:25 -07:00,226.39,2019-08-14 10:25:35 -07:00,226.43,1:10:09,2000,1225,775,deployed,SCr,323,SCr-323
bac wcr,2019-08-15 09:04:51 -07:00,227.38,2019-08-15 09:15:30 -07:00,227.39,2019-08-15 10:23:10 -07:00,227.43,1:07:39,2000,1200,800,deployed,SCr,324,SCr-324
bac wcr,2019-08-16 09:23:52 -07:00,228.39,2019-08-16 09:34:30 -07:00,228.4,2019-08-16 10:39:13 -07:00,228.44,1:04:43,2000,1000,1000,deployed,SCr,325,SCr-325
bac wcr,2019-08-17 09:04:44 -07:00,229.38,2019-08-17 09:15:22 -07:00,229.39,2019-08-17 10:10:48 -07:00,229.42,0:55:25,2000,1250,750,deployed,SCr,326,SCr-326
bac wcr,2019-08-18 09:04:53 -07:00,230.38,2019-08-18 09:15:32 -07:00,230.39,2019-08-18 09:57:48 -07:00,230.42,0:42:15,2000,1150,850,deployed,SCr,327,SCr-327
bac wcr,2019-08-19 09:04:45 -07:00,231.38,2019-08-19 09:15:23 -07:00,231.39,2019-08-19 10:01:57 -07:00,231.42,0:46:33,2000,723.3,1276.7,deployed,SCr,328,SCr-328
bac wcr,2019-08-20 09:04:45 -07:00,232.38,2019-08-20 09:15:24 -07:00,232.39,2019-08-20 10:24:13 -07:00,232.43,1:08:48,2000,1100,900,deployed,SCr,329,SCr-329
bac wcr,2019-08-21 09:04:50 -07:00,233.38,2019-08-21 09:15:30 -07:00,233.39,2019-08-21 10:21:51 -07:00,233.43,1:06:20,2000,1050,950,deployed,SCr,330,SCr-330
bac wcr,2019-08-22 09:04:43 -07:00,234.38,2019-08-22 09:15:22 -07:00,234.39,2019-08-22 10:07:48 -07:00,234.42,0:52:26,2000,1125.1,874.9,deployed,SCr,331,SCr-331
bac wcr,2019-11-21 14:21:25 -08:00,325.6,2019-11-21 14:26:56 -08:00,325.6,2019-11-21 14:29:22 -08:00,325.6,0:02:25,100,100,0,lab,SCr,lab,SCr-lab
bac wcr,2019-11-21 14:42:43 -08:00,325.61,2019-11-21 14:48:15 -08:00,325.62,2019-11-21 14:50:29 -08:00,325.62,0:02:14,100,100,0,lab,SCr,lab,SCr-lab
bac wcr,2019-11-21 15:08:10 -08:00,325.63,2019-11-21 15:13:42 -08:00,325.63,2019-11-21 15:16:06 -08:00,325.64,0:02:24,100,100,0,lab,SCr,lab,SCr-lab
bac wcr,2019-11-25 15:59:10 -08:00,329.67,2019-11-25 16:04:41 -08:00,329.67,2019-11-25 16:07:23 -08:00,329.67,0:02:42,100,100,0,control,SCr,462,SCr-462
bac wcr,2019-11-25 16:20:35 -08:00,329.68,2019-11-25 16:26:07 -08:00,329.68,2019-11-25 16:28:47 -08:00,329.69,0:02:40,100,100,0,control,SCr,463,SCr-463
bac wcr,2019-11-25 16:46:27 -08:00,329.7,2019-11-25 16:51:59 -08:00,329.7,2019-11-25 16:54:35 -08:00,329.7,0:02:35,100,100,0,control,SCr,464,SCr-464
bac wcr,2019-12-03 18:12:47 -08:00,337.76,2019-12-03 18:23:29 -08:00,337.77,2019-12-03 18:49:08 -08:00,337.78,0:25:39,2000,550,1450,deployed,SCr,465,SCr-465
bac wcr,2019-12-04 06:04:53 -08:00,338.25,2019-12-04 06:15:30 -08:00,338.26,2019-12-04 06:41:54 -08:00,338.28,0:26:24,2000,525,1475,deployed,SCr,466,SCr-466
bac wcr,2019-12-04 18:12:40 -08:00,338.76,2019-12-04 18:23:14 -08:00,338.77,2019-12-04 18:47:51 -08:00,338.78,0:24:36,2000,575,1425,deployed,SCr,467,SCr-467
bac wcr,2019-12-05 07:12:22 -08:00,339.3,2019-12-05 07:23:08 -08:00,339.31,2019-12-05 07:46:14 -08:00,339.32,0:23:06,2000,475,1525,deployed,SCr,468,SCr-468
bac wcr,2019-12-05 18:04:57 -08:00,339.75,2019-12-05 18:15:39 -08:00,339.76,2019-12-05 18:51:40 -08:00,339.79,0:36:00,2000,800,1200,deployed,SCr,469,SCr-469
bac wcr,2019-12-06 07:35:57 -08:00,340.32,2019-12-06 07:47:07 -08:00,340.32,2019-12-06 08:21:42 -08:00,340.35,0:34:34,2000,850,1150,deployed,SCr,470,SCr-470
bac wcr,2019-12-06 18:04:20 -08:00,340.75,2019-12-06 18:14:57 -08:00,340.76,2019-12-06 18:41:43 -08:00,340.78,0:26:46,2000,800,1200,deployed,SCr,471,SCr-471
bac wcr,2019-12-07 06:04:18 -08:00,341.25,2019-12-07 06:14:56 -08:00,341.26,2019-12-07 06:46:55 -08:00,341.28,0:31:59,2000,423.5,1576.5,deployed,SCr,472,SCr-472
