"Protocol","Start Date","Start Date (Julian)","Sample Start Date","Sample Start Date (Julian)","Sample End Date","Sample End Date (Julian)","Time To Sample (hh:mm:ss)","Target Volume (ml)","Actual Volume (ml)","Difference (ml)","WCR Sample Start Date","WCR Sample Start Date (Julian)","WCR Sample End Date","WCR Sample End Date (Julian)","WCR Time To Sample (hh:mm:ss)","WCR Target Volume (ml)","WCR Actual Volume (ml)","WCR Difference (ml)"
"bac wcr","2019-06-25 15:47:32 -07:00","176.66","2019-06-25 15:50:13 -07:00","176.66","2019-06-25 16:01:07 -07:00","176.67","0:10:53","500.0","500.0","0"
"bac wcr","2019-06-25 16:20:01 -07:00","176.68","2019-06-25 16:22:42 -07:00","176.68","2019-06-25 16:33:23 -07:00","176.69","0:10:41","500.0","500.0","0"
"bac wcr","2019-06-25 18:00:23 -07:00","176.75","2019-06-25 18:03:04 -07:00","176.75","2019-06-25 18:13:42 -07:00","176.76","0:10:37","500.0","500.0","0"
"bac wcr","2019-06-27 12:36:30 -07:00","178.53","2019-06-27 12:47:01 -07:00","178.53","2019-06-27 13:24:39 -07:00","178.56","0:37:38","2000.0","900.0","1100"
"bac wcr","2019-06-27 18:04:36 -07:00","178.75","2019-06-27 18:16:37 -07:00","178.76","2019-06-27 18:18:20 -07:00","178.76","0:1:42","2000.0","2.5","1997.5"
"bac wcr","2019-06-28 06:04:43 -07:00","179.25","2019-06-28 06:15:16 -07:00","179.26","2019-06-28 07:11:13 -07:00","179.30","0:55:57","2000.0","975.0","1025"
"bac wcr","2019-06-28 18:04:37 -07:00","179.75","2019-06-28 18:15:10 -07:00","179.76","2019-06-28 18:52:54 -07:00","179.79","0:37:43","2000.0","1068.0","932"
"bac wcr","2019-06-29 06:04:43 -07:00","180.25","2019-06-29 06:15:16 -07:00","180.26","2019-06-29 12:13:20 -07:00","180.51","5:58:3","2000.0","1025.0","975"
"bac wcr","2019-06-29 18:05:26 -07:00","180.75","2019-06-29 18:15:59 -07:00","180.76","2019-06-29 18:45:00 -07:00","180.78","0:29:1","2000.0","925.1","1074.9"
"bac wcr","2019-06-30 06:04:42 -07:00","181.25","2019-06-30 06:15:16 -07:00","181.26","2019-06-30 08:05:00 -07:00","181.34","1:49:44","2000.0","100.0","1900"
"bac wcr","2019-06-30 18:57:48 -07:00","181.79","2019-06-30 19:08:21 -07:00","181.80","2019-06-30 19:44:14 -07:00","181.82","0:35:53","2000.0","975.1","1024.9"
"bac wcr","2019-07-01 06:04:49 -07:00","182.25","2019-07-01 06:15:23 -07:00","182.26","2019-07-01 11:40:11 -07:00","182.49","5:24:47","2000.0","925.0","1075"
"bac wcr","2019-07-01 19:27:46 -07:00","182.81","2019-07-01 19:38:21 -07:00","182.82","2019-07-01 20:22:57 -07:00","182.85","0:44:36","2000.0","993.3","1006.7"
