target,Ct,quantity
coho,36.85419846,5
trout,19.50581169,1000000
trout,18.94125938,1000000
trout,18.92054749,1000000
trout,21.56772995,100000
trout,21.96855354,100000
trout,22.07061195,100000
trout,25.92151833,10000
trout,25.75673866,10000
trout,25.78993988,10000
trout,29.54060364,1000
trout,29.29194641,1000
trout,29.33187675,1000
trout,32.74283981,100
trout,32.59817886,100
trout,32.47790909,100
trout,35.54510117,10
trout,35.71569061,10
trout,35.50516129,10
trout,Undetermined,5
trout,Undetermined,5
trout,37.59207535,5
coho,20.56484985,1000000
coho,20.34063339,1000000
coho,20.23515892,1000000
coho,23.90465927,100000
coho,23.66351318,100000
coho,23.81379318,100000
coho,27.23585701,10000
coho,27.10187912,10000
coho,26.90947723,10000
coho,30.87927246,1000
coho,30.52609062,1000
coho,30.70554924,1000
coho,34.0915184,100
coho,34.2375679,100
coho,33.6615181,100
coho,37.47333908,10
coho,36.94366455,10
coho,38.31686401,10
coho,37.78746414,5
coho,37.18002319,5
coho,36.93232346,5
coho,20.37164116,1000000
coho,20.69007301,1000000
coho,20.42603493,1000000
coho,23.7923851,100000
coho,23.8900528,100000
coho,23.97737122,100000
coho,27.15401649,10000
coho,27.33259201,10000
coho,27.16822815,10000
coho,30.84268951,1000
coho,30.64822769,1000
coho,30.9013195,1000
coho,34.04541016,100
coho,34.93992615,100
coho,34.0713501,100
coho,38.03006363,10
coho,37.95238876,10
coho,37.65993881,10
coho,38.02682495,5
coho,Undetermined,5
coho,38.04178238,5
trout,19.2393856,1000000
trout,18.7072258,1000000
trout,18.58799553,1000000
trout,22.42327309,100000
trout,22.14547539,100000
trout,22.4134922,100000
trout,25.65646935,10000
trout,25.62850189,10000
trout,25.58697319,10000
trout,29.16978645,1000
trout,29.11841393,1000
trout,29.21135712,1000
trout,33.1790657,100
trout,33.36480713,100
trout,32.92956924,100
trout,36.89273071,10
trout,36.09459686,10
trout,35.96849823,10
trout,37.8690567,5
trout,Undetermined,5
trout,36.9764595,5
trout,19.1949234,1000000
trout,19.05748177,1000000
trout,18.91312599,1000000
trout,21.6709156,100000
trout,22.17163086,100000
trout,22.18889618,100000
trout,25.71770096,10000
trout,25.8515873,10000
trout,25.6981144,10000
trout,29.24732399,1000
trout,29.13026237,1000
