"Assay","R.squared","Slope","Intercept","Low.95","LOD","LOQ","rep2.LOD","rep3.LOD","rep4.LOD","rep5.LOD","rep8.LOD"
"coho",0.998259054960073,-3.4408000682476,40.6825907836698,100,12.5770573844073,Inf,5.5980406515058,3.64704239824216,2.70214422194407,2.14392051792722,1.31931058496756
"trout",0.997453352702833,-3.49038478478203,39.8130435033107,100,20.8490090091045,Inf,9.39825856007813,5.89695914181889,4.2365209743787,3.27800791401048,1.9097271959074
