Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201027_Scott_Creek_Okisutch_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-27 15:23:31 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
C6,SCr-507,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.82035065,36.31507492,0.732905447,12.00237083,18.35761452,9.778497696,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C7,SCr-507-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.61696625,37.07309341,0.908704042,7.03188467,11.57692814,7.712523937,FALSE,0.1,TRUE,3,34,,Y,N,N,N
C8,SCr-507-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.02404785,37.07309341,0.908704042,20.48194313,11.57692814,7.712523937,FALSE,0.1,TRUE,3,32,,Y,N,Y,N
C9,SCr-507-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.57825851,37.07309341,0.908704042,7.216958046,11.57692814,7.712523937,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C10,SCr-480,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.91955948,37.8286705,0.26516971,5.739482403,6.166811466,1.135995865,FALSE,0.1,TRUE,3,34,,N,N,N,N
C11,SCr-480,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.0364418,37.8286705,0.26516971,5.306451321,6.166811466,1.135995865,FALSE,0.1,TRUE,3,34,,N,N,N,N
C12,SCr-480,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.53000641,37.8286705,0.26516971,7.454500675,6.166811466,1.135995865,FALSE,0.1,TRUE,3,33,,N,N,N,N
D1,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.43167686,30.29322243,0.13350448,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
D2,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.16529083,30.29322243,0.13350448,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
D3,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.28269768,30.29322243,0.13350448,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
D4,SCr-501,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
D5,SCr-501,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
D6,SCr-501,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
D7,SCr-501-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.89400482,35.91048813,0.092223957,22.34990692,22.13206482,1.358205438,FALSE,0.1,TRUE,3,32,,N,N,N,N
D8,SCr-501-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.82762146,35.91048813,0.092223957,23.36818504,22.13206482,1.358205438,FALSE,0.1,TRUE,3,32,,N,N,N,N
D9,SCr-501-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.00984573,35.91048813,0.092223957,20.67810631,22.13206482,1.358205438,FALSE,0.1,TRUE,3,32,,N,N,N,N
D10,SCr-480-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.1733551,38.38845444,0.227452904,4.840576172,4.222234249,0.635336101,FALSE,0.1,TRUE,3,34,,N,N,N,N
D11,SCr-480-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.36548615,38.38845444,0.227452904,4.254957676,4.222234249,0.635336101,FALSE,0.1,TRUE,3,35,,N,N,N,N
D12,SCr-480-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.62651825,38.38845444,0.227452904,3.571168661,4.222234249,0.635336101,FALSE,0.1,TRUE,3,34,,N,N,N,N
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.16345978,33.5545311,0.570931852,100,,,FALSE,0.1,TRUE,3,29,,Y,N,N,N
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,34.20969772,33.5545311,0.570931852,100,,,FALSE,0.1,TRUE,3,30,,Y,N,N,N
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.29043579,33.5545311,0.570931852,100,,,FALSE,0.1,TRUE,3,28,,Y,N,N,N
E4,SCr-498,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.50621414,35.1496582,0.332967788,28.99398232,37.43771744,8.096223831,FALSE,0.1,TRUE,3,32,,N,N,N,N
E5,SCr-498,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.84680557,35.1496582,0.332967788,45.13468933,37.43771744,8.096223831,FALSE,0.1,TRUE,3,29,,N,N,N,N
E6,SCr-498,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.09596252,35.1496582,0.332967788,38.18447876,37.43771744,8.096223831,FALSE,0.1,TRUE,3,31,,N,N,N,N
E7,SCr-498-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E8,SCr-498-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E9,SCr-498-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E10,SCr-477,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.4237175,35.92991257,0.44138521,30.64458656,22.49506187,7.086274147,FALSE,0.1,TRUE,3,31,,N,N,N,N
E11,SCr-477,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.23445511,35.92991257,0.44138521,17.78452301,22.49506187,7.086274147,FALSE,0.1,TRUE,3,31,,N,N,N,N
E12,SCr-477,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.13156128,35.92991257,0.44138521,19.05607414,22.49506187,7.086274147,FALSE,0.1,TRUE,3,32,,N,N,N,N
F1,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.7682991,37.08751297,0.923175454,10,,,FALSE,0.1,TRUE,3,32,,Y,N,N,N
F2,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.36631012,37.08751297,0.923175454,10,,,FALSE,0.1,TRUE,3,32,,Y,N,N,N
F3,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.1279335,37.08751297,0.923175454,10,,,FALSE,0.1,TRUE,3,34,,Y,N,N,N
F4,SCr-492,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F5,SCr-492,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F6,SCr-492,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F7,SCr-492-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.98633194,38.58933258,0.852774382,5.487948895,3.965372086,2.153248787,FALSE,0.1,TRUE,3,33,,Y,N,N,N
F8,SCr-492-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.58933258,0.852774382,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
F9,SCr-492-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.19233704,38.58933258,0.852774382,2.442795277,3.965372086,2.153248787,FALSE,0.1,TRUE,3,35,,Y,N,N,N
F10,SCr-477-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.53166199,37.53166199,,7.446222305,7.446222305,,FALSE,0.1,TRUE,3,34,,N,N,N,N
F11,SCr-477-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.53166199,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F12,SCr-477-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.53166199,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G1,,O.kisutch,STANDARD,FAM,NFQ-MGB,37.70773697,38.17623901,0.406781584,5,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
G2,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.3813591,38.17623901,0.406781584,5,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
