Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201123_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-23 12:54:15 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
C6,SCr-059,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13871384,34.81459045,0.650689363,31.52709961,21.64610291,9.074062347,FALSE,0.1,TRUE,3,30,,Y,N,N,N,N
C7,SCr-059-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.34279633,36.55542374,0.336039424,7.644731998,6.767955303,1.362601638,FALSE,0.1,TRUE,3,32,,N,N,N,N,N
C8,SCr-059-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.94283295,36.55542374,0.336039424,5.198138714,6.767955303,1.362601638,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
C9,SCr-059-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.38064194,36.55542374,0.336039424,7.460995674,6.767955303,1.362601638,FALSE,0.1,TRUE,3,33,,N,N,N,N,N
C10,SCr-242,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.37652588,32.25902176,0.280610263,97.86794281,106.7301865,20.04043579,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
C11,SCr-242,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.93876266,32.25902176,0.280610263,129.6738586,106.7301865,20.04043579,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
C12,SCr-242,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.46178055,32.25902176,0.280610263,92.64875793,106.7301865,20.04043579,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.66506577,27.65361023,0.033882383,1000,,,FALSE,0.1,TRUE,3,24,,N,N,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.68027878,27.65361023,0.033882383,1000,,,FALSE,0.1,TRUE,3,24,,N,N,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.61548424,27.65361023,0.033882383,1000,,,FALSE,0.1,TRUE,3,24,,N,N,N,N,N
D4,SCr-061,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.84899902,32.9770813,0.115044564,72.23345947,66.64691162,4.997564316,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
D5,SCr-061,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.01060867,32.9770813,0.115044564,65.10603333,66.64691162,4.997564316,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
D6,SCr-061,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.07164001,32.9770813,0.115044564,62.60123825,66.64691162,4.997564316,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
D7,SCr-061-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.5656662,35.50577545,0.395537525,12.59843254,13.38190937,3.467178583,FALSE,0.1,TRUE,3,31,,N,N,N,N,N
D8,SCr-061-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.86795425,35.50577545,0.395537525,10.37350845,13.38190937,3.467178583,FALSE,0.1,TRUE,3,31,,N,N,N,N,N
D9,SCr-061-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.08370972,35.50577545,0.395537525,17.17378807,13.38190937,3.467178583,FALSE,0.1,TRUE,3,31,,N,N,N,N,N
D10,SCr-242-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.66426086,32.55778122,0.241624251,81.3415451,87.82541656,14.14707375,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
D11,SCr-242-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.28120422,32.55778122,0.241624251,104.0523148,87.82541656,14.14707375,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
D12,SCr-242-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.72787476,32.55778122,0.241624251,78.08238983,87.82541656,14.14707375,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.47599411,32.3883934,0.223084405,100,,,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.13479996,32.3883934,0.223084405,100,,,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.55437469,32.3883934,0.223084405,100,,,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
E4,SCr-065,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.40515518,33.59000015,0.17450127,50.52127075,45.0508728,5.099925995,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
E5,SCr-065,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.61296082,33.59000015,0.17450127,44.20388031,45.0508728,5.099925995,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
E6,SCr-065,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.75188446,33.59000015,0.17450127,40.42747116,45.0508728,5.099925995,FALSE,0.1,TRUE,3,30,,N,N,N,N,N
E7,SCr-065-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.86307144,36.0020752,1.627793789,2.877011061,12.6225853,8.817295074,FALSE,0.1,TRUE,3,34,,Y,N,N,N,N
E8,SCr-065-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.84303284,36.0020752,1.627793789,20.04733849,12.6225853,8.817295074,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
