Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201019_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-19 14:04:26 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
C7,SCr-164-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.22631454,32.35282898,0.110892981,451.9189453,421.7316589,26.42803764,FALSE,0.1,TRUE,3,29,,N,N,N
C8,SCr-164-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.398983,32.35282898,0.110892981,410.5092468,421.7316589,26.42803764,FALSE,0.1,TRUE,3,28,,N,N,N
C9,SCr-164-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.43319321,32.35282898,0.110892981,402.7667542,421.7316589,26.42803764,FALSE,0.1,TRUE,3,28,,N,N,N
C10,SCr-171,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.80461884,38.63737869,0.332774609,11.61303902,12.89718628,2.498211384,FALSE,0.1,TRUE,3,34,,N,N,N
C11,SCr-171,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.25415421,38.63737869,0.332774609,15.77628613,12.89718628,2.498211384,FALSE,0.1,TRUE,3,33,,N,N,N
C12,SCr-171,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.85335922,38.63737869,0.332774609,11.30223465,12.89718628,2.498211384,FALSE,0.1,TRUE,3,34,,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.09727287,31.17980194,0.07733541,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.25060463,31.17980194,0.07733541,1000,,,FALSE,0.1,TRUE,3,28,,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.19152641,31.17980194,0.07733541,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D4,SCr-165,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.4071846,31.43861389,0.038464341,712.9539795,700.6977539,14.9345665,FALSE,0.1,TRUE,3,28,,N,N,N
D5,SCr-165,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.42714882,31.43861389,0.038464341,705.0756836,700.6977539,14.9345665,FALSE,0.1,TRUE,3,28,,N,N,N
D6,SCr-165,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.48150635,31.43861389,0.038464341,684.0634155,700.6977539,14.9345665,FALSE,0.1,TRUE,3,27,,N,N,N
D7,SCr-165-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.47509384,32.46923447,0.087679133,393.4824219,395.0822754,19.32143784,FALSE,0.1,TRUE,3,27,,N,N,N
D8,SCr-165-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.55383301,32.46923447,0.087679133,376.6105042,395.0822754,19.32143784,FALSE,0.1,TRUE,3,29,,N,N,N
D9,SCr-165-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.37876892,32.46923447,0.087679133,415.1539001,395.0822754,19.32143784,FALSE,0.1,TRUE,3,29,,N,N,N
D10,SCr-171-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.33195496,34.16976929,0.140994653,139.9854584,153.5198975,11.77244377,FALSE,0.1,TRUE,3,30,,N,N,N
D11,SCr-171-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.10097885,34.16976929,0.140994653,159.1896057,153.5198975,11.77244377,FALSE,0.1,TRUE,3,30,,N,N,N
D12,SCr-171-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.07637405,34.16976929,0.140994653,161.3846436,153.5198975,11.77244377,FALSE,0.1,TRUE,3,31,,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.82412338,34.9226265,0.985370994,100,,,FALSE,0.1,TRUE,3,32,,Y,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.07307816,34.9226265,0.985370994,100,,,FALSE,0.1,TRUE,3,31,,Y,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.87068558,34.9226265,0.985370994,100,,,FALSE,0.1,TRUE,3,30,,Y,N,N
E4,SCr-166,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.54874229,31.56682777,0.130038828,658.9371948,653.4717407,46.91503525,FALSE,0.1,TRUE,3,28,,N,N,N
E5,SCr-166,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.70496178,31.56682777,0.130038828,604.0633545,653.4717407,46.91503525,FALSE,0.1,TRUE,3,28,,N,N,N
E6,SCr-166,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.44677734,31.56682777,0.130038828,697.4146729,653.4717407,46.91503525,FALSE,0.1,TRUE,3,28,,N,N,N
E7,SCr-166-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.3638916,33.18530655,0.299553663,239.9298096,267.5437622,46.51967239,FALSE,0.1,TRUE,3,30,,N,N,N
