Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\20201111_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,EXPFAIL
C8,SCr-836-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.63995743,36.63573837,0.839342475,17.79907417,19.70717621,10.49579144,FALSE,0.1,TRUE,3,32,,N,N
C9,SCr-836-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.79428864,36.63573837,0.839342475,31.02611923,19.70717621,10.49579144,FALSE,0.1,TRUE,3,31,,N,N
C10,SCr-856,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
C11,SCr-856,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
C12,SCr-856,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
D1,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.31622124,30.43417358,0.196065292,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D2,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.66050339,30.43417358,0.196065292,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D3,,O.kisutch,STANDARD,FAM,NFQ-MGB,30.32579803,30.43417358,0.196065292,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D4,SCr-839,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.25931168,0.370773584,,,,FALSE,0.1,TRUE,3,35,,N,N
D5,SCr-839,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.99713516,37.25931168,0.370773584,14.07566547,12.02441978,2.900900126,FALSE,0.1,TRUE,3,33,,N,N
D6,SCr-839,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.52148819,37.25931168,0.370773584,9.973173141,12.02441978,2.900900126,FALSE,0.1,TRUE,3,33,,N,N
D7,SCr-839-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
D8,SCr-839-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
D9,SCr-839-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
D10,SCr-856-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
D11,SCr-856-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
D12,SCr-856-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,34.1529808,34.20707703,0.277260333,100,,,FALSE,0.1,TRUE,3,30,,N,N
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,34.50740051,34.20707703,0.277260333,100,,,FALSE,0.1,TRUE,3,30,,N,N
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,33.96085358,34.20707703,0.277260333,100,,,FALSE,0.1,TRUE,3,30,,N,N
E4,SCr-842,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.15749741,36.63134766,1.023330688,24.43868828,20.35886383,10.64810753,FALSE,0.1,TRUE,3,32,,N,N
E5,SCr-842,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.80571747,36.63134766,1.023330688,8.274129868,20.35886383,10.64810753,FALSE,0.1,TRUE,3,34,,N,N
E6,SCr-842,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.93082428,36.63134766,1.023330688,28.36377525,20.35886383,10.64810753,FALSE,0.1,TRUE,3,32,,N,N
E7,SCr-842-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.55831528,,,,,FALSE,0.1,TRUE,3,39,,N,Y
E8,SCr-842-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.55831528,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E9,SCr-842-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.55831528,38.55831528,,5.046056271,5.046056271,,FALSE,0.1,TRUE,3,34,,N,N
E10,SCr-EB15,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E11,SCr-EB15,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E12,SCr-EB15,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F1,,O.kisutch,STANDARD,FAM,NFQ-MGB,36.98905182,37.65423203,0.965614915,10,,,FALSE,0.1,TRUE,3,33,,N,N
F2,,O.kisutch,STANDARD,FAM,NFQ-MGB,37.21186447,37.65423203,0.965614915,10,,,FALSE,0.1,TRUE,3,33,,N,N
F3,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.7617836,37.65423203,0.965614915,10,,,FALSE,0.1,TRUE,3,34,,N,N
F4,SCr-845,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.49708557,36.03830338,0.520787716,37.7173233,27.48630714,9.459233284,FALSE,0.1,TRUE,3,31,,N,N
F5,SCr-845,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.53591919,36.03830338,0.520787716,19.058424,27.48630714,9.459233284,FALSE,0.1,TRUE,3,33,,N,N
F6,SCr-845,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.08190918,36.03830338,0.520787716,25.68317223,27.48630714,9.459233284,FALSE,0.1,TRUE,3,32,,N,N
F7,SCr-845-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.54720688,38.19971848,1.460448503,5.083023548,8.730837822,8.374233246,FALSE,0.1,TRUE,3,34,,N,N
F8,SCr-845-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.59686661,38.19971848,1.460448503,18.31025124,8.730837822,8.374233246,FALSE,0.1,TRUE,3,32,,N,N
F9,SCr-845-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.45508194,38.19971848,1.460448503,2.799240112,8.730837822,8.374233246,FALSE,0.1,TRUE,3,35,,N,N
F10,SCr-EB15-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F11,SCr-EB15-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
F12,SCr-EB15-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G1,,O.kisutch,STANDARD,FAM,NFQ-MGB,37.9095993,37.9095993,,5,,,FALSE,0.1,TRUE,3,34,,N,N
G2,,O.kisutch,STANDARD,FAM,NFQ-MGB,Undetermined,37.9095993,,5,,,FALSE,0.1,TRUE,3,39,,Y,Y
G3,,O.kisutch,STANDARD,FAM,NFQ-MGB,Undetermined,37.9095993,,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G4,SCr-848,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.45714951,33.5309906,0.096945047,144.1056976,137.4644012,8.617730141,FALSE,0.1,TRUE,3,29,,N,N
G5,SCr-848,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.49504852,33.5309906,0.096945047,140.5613251,137.4644012,8.617730141,FALSE,0.1,TRUE,3,29,,N,N
G6,SCr-848,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.64077377,33.5309906,0.096945047,127.7261887,137.4644012,8.617730141,FALSE,0.1,TRUE,3,29,,N,N
G7,SCr-848-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.32535934,36.57940292,1.562880039,21.88642502,25.04911041,20.64881325,FALSE,0.1,TRUE,3,32,,N,N
G8,SCr-848-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.2537384,36.57940292,1.562880039,6.164101124,25.04911041,20.64881325,FALSE,0.1,TRUE,3,34,,N,N
G9,SCr-848-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.15910339,36.57940292,1.562880039,47.09680557,25.04911041,20.64881325,FALSE,0.1,TRUE,3,31,,N,N
G10,SCr-EB23,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
G11,SCr-EB23,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G12,SCr-EB23,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
H1,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H2,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H3,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H4,SCr-851,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.21089172,32.07990646,0.137670293,326.8345947,357.1880798,32.47525024,FALSE,0.1,TRUE,3,28,,N,N
H5,SCr-851,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.09241486,32.07990646,0.137670293,353.2954102,357.1880798,32.47525024,FALSE,0.1,TRUE,3,28,,N,N
H6,SCr-851,O.kisutch,UNKNOWN,FAM,NFQ-MGB,31.93640518,32.07990646,0.137670293,391.4342041,357.1880798,32.47525024,FALSE,0.1,TRUE,3,28,,N,N
H7,SCr-851-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.97624588,34.94108582,0.176715195,53.10969543,54.59822083,6.433181763,FALSE,0.1,TRUE,3,31,,N,N
H8,SCr-851-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.74943542,34.94108582,0.176715195,61.64518356,54.59822083,6.433181763,FALSE,0.1,TRUE,3,30,,N,N
H9,SCr-851-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.09757996,34.94108582,0.176715195,49.03977966,54.59822083,6.433181763,FALSE,0.1,TRUE,3,31,,N,N
H10,SCr-EB23-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
H11,SCr-EB23-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
H12,SCr-EB23-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
