Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201015_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-15 11:28:16 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,OUTLIERRG,EXPFAIL
C7,SCr-203-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.08312225,32.20092392,0.104939453,172.0028381,159.9469757,10.70876122,FALSE,0.1,TRUE,3,29,,N,N,N
C8,SCr-203-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.28440857,32.20092392,0.104939453,151.5379181,159.9469757,10.70876122,FALSE,0.1,TRUE,3,28,,N,N,N
C9,SCr-203-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.23524094,32.20092392,0.104939453,156.3001862,159.9469757,10.70876122,FALSE,0.1,TRUE,3,28,,N,N,N
C10,SCr-210,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.14440918,29.09382629,0.264515758,1093.266479,1139.237671,193.2501068,FALSE,0.1,TRUE,3,25,,N,N,N
C11,SCr-210,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.8076725,29.09382629,0.264515758,1351.328003,1139.237671,193.2501068,FALSE,0.1,TRUE,3,26,,N,N,N
C12,SCr-210,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.32939911,29.09382629,0.264515758,973.1185913,1139.237671,193.2501068,FALSE,0.1,TRUE,3,26,,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.55508423,29.52230835,0.029944001,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.49638367,29.52230835,0.029944001,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.51545715,29.52230835,0.029944001,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D4,SCr-204,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.60682678,30.59333801,0.094810002,435.5392761,439.7758484,26.39115143,FALSE,0.1,TRUE,3,26,,N,N,N
D5,SCr-204,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.68068123,30.59333801,0.094810002,415.7592468,439.7758484,26.39115143,FALSE,0.1,TRUE,3,27,,N,N,N
D6,SCr-204,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.49250603,30.59333801,0.094810002,468.0289917,439.7758484,26.39115143,FALSE,0.1,TRUE,3,27,,N,N,N
D7,SCr-204-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.17401505,31.65872765,0.491654277,162.440155,231.7727051,69.2039566,FALSE,0.1,TRUE,3,29,,N,N,N
D8,SCr-204-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.60744286,31.65872765,0.491654277,232.0306244,231.7727051,69.2039566,FALSE,0.1,TRUE,3,28,,N,N,N
D9,SCr-204-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.19472694,31.65872765,0.491654277,300.8473511,231.7727051,69.2039566,FALSE,0.1,TRUE,3,28,,N,N,N
D10,SCr-210-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.8669796,31.38507843,0.471757978,369.7634888,275.0472412,84.62832642,FALSE,0.1,TRUE,3,28,,N,N,N
D11,SCr-210-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.49840546,31.38507843,0.471757978,248.5116272,275.0472412,84.62832642,FALSE,0.1,TRUE,3,29,,N,N,N
D12,SCr-210-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.78985214,31.38507843,0.471757978,206.8665924,275.0472412,84.62832642,FALSE,0.1,TRUE,3,28,,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.23775864,34.00524521,0.393838942,100,,,FALSE,0.1,TRUE,3,30,,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.22745895,34.00524521,0.393838942,100,,,FALSE,0.1,TRUE,3,31,,N,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.55051804,34.00524521,0.393838942,100,,,FALSE,0.1,TRUE,3,30,,N,Y,N
E4,SCr-205,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.71201324,30.3892765,0.301324725,407.6415405,505.3589783,93.26615143,FALSE,0.1,TRUE,3,28,,N,N,N
E5,SCr-205,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.34050179,30.3892765,0.301324725,515.0122681,505.3589783,93.26615143,FALSE,0.1,TRUE,3,28,,N,N,N
E6,SCr-205,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.11531448,30.3892765,0.301324725,593.4229736,505.3589783,93.26615143,FALSE,0.1,TRUE,3,27,,N,N,N
E7,SCr-205-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.84377289,31.72429848,0.183437407,199.9645844,216.5587158,25.75253105,FALSE,0.1,TRUE,3,28,,N,N,N
E8,SCr-205-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.81603432,31.72429848,0.183437407,203.4859467,216.5587158,25.75253105,FALSE,0.1,TRUE,3,28,,N,N,N
E9,SCr-205-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51309013,31.72429848,0.183437407,246.2255859,216.5587158,25.75253105,FALSE,0.1,TRUE,3,28,,N,N,N
E10,SCr-211,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.54939842,29.73539925,0.330702275,847.2994995,764.1872559,148.5253143,FALSE,0.1,TRUE,3,26,,N,N,N
E11,SCr-211,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.5395813,29.73539925,0.330702275,852.5504761,764.1872559,148.5253143,FALSE,0.1,TRUE,3,26,,N,N,N
