"Plot Title: Range"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219)","Host Connected (LGR S/N: 20309219)","Stopped (LGR S/N: 20309219)","End Of File (LGR S/N: 20309219)"
117,03/07/20 11:44:47 AM,,0.12,,,,
118,03/07/20 11:45:00 AM,57.958,,,,,
119,03/07/20 11:54:52 AM,,0.13,,,,
120,03/07/20 12:00:00 PM,58.131,,,,,
121,03/07/20 12:15:00 PM,58.303,,,,,
122,03/07/20 12:16:44 PM,,0.14,,,,
123,03/07/20 12:20:46 PM,,0.15,,,,
124,03/07/20 12:23:24 PM,,0.16,,,,
125,03/07/20 12:26:21 PM,,0.17,,,,
126,03/07/20 12:27:21 PM,,0.18,,,,
127,03/07/20 12:30:00 PM,57.614,,,,,
128,03/07/20 12:30:13 PM,,0.19,,,,
129,03/07/20 12:32:52 PM,,0.20,,,,
130,03/07/20 12:34:59 PM,,0.21,,,,
131,03/07/20 12:36:39 PM,,0.22,,,,
132,03/07/20 12:38:47 PM,,0.23,,,,
133,03/07/20 12:40:07 PM,,0.24,,,,
134,03/07/20 12:44:38 PM,,0.25,,,,
135,03/07/20 12:45:00 PM,57.268,,,,,
136,03/07/20 12:51:32 PM,,0.26,,,,
137,03/07/20 01:00:00 PM,57.441,,,,,
138,03/07/20 01:15:00 PM,58.993,,,,,
139,03/07/20 01:30:00 PM,58.993,,,,,
140,03/07/20 01:45:00 PM,58.131,,,,,
141,03/07/20 02:00:00 PM,57.268,,,,,
142,03/07/20 02:03:25 PM,,0.27,,,,
143,03/07/20 02:10:01 PM,,0.28,,,,
144,03/07/20 02:15:00 PM,61.741,,,,,
145,03/07/20 02:30:00 PM,61.569,,,,,
146,03/07/20 02:45:00 PM,62.425,,,,,
147,03/07/20 03:00:00 PM,69.793,,,,,
148,03/07/20 03:15:00 PM,78.800,,,,,
149,03/07/20 03:30:00 PM,80.382,,,,,
150,03/07/20 03:45:00 PM,78.449,,,,,
151,03/07/20 04:00:00 PM,68.077,,,,,
152,03/07/20 04:15:00 PM,63.111,,,,,
153,03/07/20 04:30:00 PM,61.569,,,,,
154,03/07/20 04:45:00 PM,60.024,,,,,
155,03/07/20 05:00:00 PM,58.820,,,,,
156,03/07/20 05:15:00 PM,57.614,,,,,
157,03/07/20 05:30:00 PM,54.669,,,,,
158,03/07/20 05:45:00 PM,52.925,,,,,
159,03/07/20 06:00:00 PM,50.995,,,,,
160,03/07/20 06:15:00 PM,48.871,,,,,
161,03/07/20 06:30:00 PM,46.908,,,,,
162,03/07/20 06:45:00 PM,45.648,,,,,
163,03/07/20 07:00:00 PM,45.286,,,,,
164,03/07/20 07:15:00 PM,45.648,,,,,
165,03/07/20 07:30:00 PM,44.922,,,,,
166,03/07/20 07:45:00 PM,44.379,,,,,
167,03/07/20 08:00:00 PM,44.195,,,,,
168,03/07/20 08:15:00 PM,43.831,,,,,
169,03/07/20 08:30:00 PM,43.831,,,,,
170,03/07/20 08:45:00 PM,44.195,,,,,
171,03/07/20 09:00:00 PM,44.560,,,,,
172,03/07/20 09:15:00 PM,44.922,,,,,
173,03/07/20 09:30:00 PM,44.922,,,,,
174,03/07/20 09:45:00 PM,45.104,,,,,
175,03/07/20 10:00:00 PM,45.286,,,,,
176,03/07/20 10:15:00 PM,45.828,,,,,
177,03/07/20 10:30:00 PM,46.008,,,,,
178,03/07/20 10:45:00 PM,46.008,,,,,
179,03/07/20 11:00:00 PM,45.828,,,,,
180,03/07/20 11:15:00 PM,45.648,,,,,
181,03/07/20 11:30:00 PM,46.008,,,,,
182,03/07/20 11:45:00 PM,46.369,,,,,
183,03/08/20 12:00:00 AM,46.369,,,,,
184,03/08/20 12:15:00 AM,46.369,,,,,
185,03/08/20 12:30:00 AM,46.548,,,,,
186,03/08/20 12:45:00 AM,46.548,,,,,
187,03/08/20 01:00:00 AM,46.369,,,,,
188,03/08/20 01:15:00 AM,46.188,,,,,
189,03/08/20 01:23:59 AM,,0.29,,,,
190,03/08/20 01:30:00 AM,46.369,,,,,
191,03/08/20 01:45:00 AM,46.188,,,,,
192,03/08/20 02:00:00 AM,45.286,,,,,
193,03/08/20 02:15:00 AM,44.560,,,,,
194,03/08/20 02:30:00 AM,43.831,,,,,
195,03/08/20 02:45:00 AM,43.282,,,,,
196,03/08/20 03:00:00 AM,43.099,,,,,
197,03/08/20 03:15:00 AM,42.363,,,,,
198,03/08/20 03:30:00 AM,41.810,,,,,
199,03/08/20 03:45:00 AM,42.363,,,,,
200,03/08/20 04:00:00 AM,42.363,,,,,
201,03/08/20 04:15:00 AM,42.179,,,,,
202,03/08/20 04:30:00 AM,41.810,,,,,
203,03/08/20 04:45:00 AM,41.810,,,,,
204,03/08/20 05:00:00 AM,41.625,,,,,
205,03/08/20 05:15:00 AM,41.439,,,,,
206,03/08/20 05:30:00 AM,41.254,,,,,
207,03/08/20 05:45:00 AM,40.881,,,,,
208,03/08/20 06:00:00 AM,41.254,,,,,
209,03/08/20 06:15:00 AM,41.439,,,,,
210,03/08/20 06:30:00 AM,41.439,,,,,
211,03/08/20 06:45:00 AM,41.439,,,,,
212,03/08/20 07:00:00 AM,42.179,,,,,
213,03/08/20 07:15:00 AM,42.915,,,,,
214,03/08/20 07:30:00 AM,44.013,,,,,
215,03/08/20 07:45:00 AM,45.648,,,,,
216,03/08/20 08:00:00 AM,49.404,,,,,
217,03/08/20 08:15:00 AM,52.576,,,,,
218,03/08/20 08:30:00 AM,55.189,,,,,
219,03/08/20 08:45:00 AM,57.785,,,,,
220,03/08/20 09:00:00 AM,60.368,,,,,
221,03/08/20 09:15:00 AM,61.912,,,,,
222,03/08/20 09:30:00 AM,63.282,,,,,
223,03/08/20 09:45:00 AM,65.338,,,,,
224,03/08/20 09:58:30 AM,,0.30,,,,
225,03/08/20 09:59:14 AM,,0.31,,,,
226,03/08/20 10:00:00 AM,67.564,,,,,
227,03/08/20 10:15:00 AM,88.650,,,,,
228,03/08/20 10:30:00 AM,95.400,,,,,
229,03/08/20 10:45:00 AM,99.291,,,,,
230,03/08/20 11:00:00 AM,103.104,,,,,
231,03/08/20 11:15:00 AM,96.168,,,,,
232,03/08/20 11:30:00 AM,91.800,,,,,
233,03/08/20 11:45:00 AM,94.253,,,,,
234,03/08/20 12:00:00 PM,99.687,,,,,
235,03/08/20 12:15:00 PM,100.483,,,,,
236,03/08/20 12:30:00 PM,100.283,,,,,
237,03/08/20 12:45:00 PM,99.291,,,,,
238,03/08/20 01:00:00 PM,98.110,,,,,
239,03/08/20 01:15:00 PM,92.926,,,,,
240,03/08/20 01:30:00 PM,88.282,,,,,
241,03/08/20 01:45:00 PM,86.823,,,,,
242,03/08/20 02:00:00 PM,89.200,,,,,
243,03/08/20 02:15:00 PM,90.124,,,,,
244,03/08/20 02:30:00 PM,95.207,,,,,
245,03/08/20 02:45:00 PM,89.755,,,,,
246,03/08/20 03:00:00 PM,84.474,,,,,
247,03/08/20 03:15:00 PM,80.029,,,,,
248,03/08/20 03:30:00 PM,76.703,,,,,
249,03/08/20 03:45:00 PM,75.832,,,,,
250,03/08/20 04:00:00 PM,74.271,,,,,
251,03/08/20 04:15:00 PM,72.545,,,,,
252,03/08/20 04:30:00 PM,69.449,,,,,
253,03/08/20 04:45:00 PM,65.680,,,,,
254,03/08/20 05:00:00 PM,63.626,,,,,
255,03/08/20 05:15:00 PM,62.254,,,,,
256,03/08/20 05:30:00 PM,60.195,,,,,
257,03/08/20 05:45:00 PM,57.958,,,,,
258,03/08/20 06:00:00 PM,55.711,,,,,
259,03/08/20 06:15:00 PM,54.147,,,,,
260,03/08/20 06:30:00 PM,53.100,,,,,
261,03/08/20 06:45:00 PM,51.874,,,,,
262,03/08/20 07:00:00 PM,50.995,,,,,
263,03/08/20 07:15:00 PM,50.290,,,,,
264,03/08/20 07:30:00 PM,50.113,,,,,
265,03/08/20 07:45:00 PM,49.937,,,,,
266,03/08/20 08:00:00 PM,49.937,,,,,
267,03/08/20 08:15:00 PM,49.404,,,,,
268,03/08/20 08:30:00 PM,49.582,,,,,
269,03/08/20 08:45:00 PM,49.759,,,,,
270,03/08/20 09:00:00 PM,49.937,,,,,
271,03/08/20 09:15:00 PM,49.582,,,,,
272,03/08/20 09:30:00 PM,48.871,,,,,
273,03/08/20 09:45:00 PM,48.339,,,,,
274,03/08/20 10:00:00 PM,48.160,,,,,
275,03/08/20 10:15:00 PM,48.339,,,,,
276,03/08/20 10:30:00 PM,48.517,,,,,
277,03/08/20 10:45:00 PM,48.517,,,,,
278,03/08/20 11:00:00 PM,48.160,,,,,
279,03/08/20 11:15:00 PM,47.624,,,,,
280,03/08/20 11:30:00 PM,46.908,,,,,
281,03/08/20 11:45:00 PM,46.188,,,,,
282,03/09/20 12:00:00 AM,46.369,,,,,
283,03/09/20 12:15:00 AM,47.088,,,,,
284,03/09/20 12:30:00 AM,47.446,,,,,
285,03/09/20 12:45:00 AM,47.624,,,,,
286,03/09/20 01:00:00 AM,47.802,,,,,
287,03/09/20 01:15:00 AM,47.624,,,,,
288,03/09/20 01:30:00 AM,47.266,,,,,
289,03/09/20 01:45:00 AM,46.188,,,,,
290,03/09/20 02:00:00 AM,46.008,,,,,
291,03/09/20 02:15:00 AM,46.008,,,,,
292,03/09/20 02:30:00 AM,45.828,,,,,
293,03/09/20 02:45:00 AM,45.466,,,,,
294,03/09/20 03:00:00 AM,44.922,,,,,
295,03/09/20 03:15:00 AM,44.742,,,,,
296,03/09/20 03:30:00 AM,45.104,,,,,
297,03/09/20 03:45:00 AM,45.286,,,,,
298,03/09/20 04:00:00 AM,45.828,,,,,
299,03/09/20 04:15:00 AM,46.548,,,,,
300,03/09/20 04:30:00 AM,46.369,,,,,
301,03/09/20 04:45:00 AM,46.188,,,,,
302,03/09/20 05:00:00 AM,46.548,,,,,
303,03/09/20 05:15:00 AM,46.548,,,,,
304,03/09/20 05:30:00 AM,46.188,,,,,
305,03/09/20 05:45:00 AM,45.828,,,,,
306,03/09/20 06:00:00 AM,45.828,,,,,
307,03/09/20 06:15:00 AM,45.828,,,,,
308,03/09/20 06:30:00 AM,45.466,,,,,
309,03/09/20 06:45:00 AM,45.648,,,,,
310,03/09/20 07:00:00 AM,47.088,,,,,
311,03/09/20 07:15:00 AM,48.871,,,,,
312,03/09/20 07:30:00 AM,51.523,,,,,
313,03/09/20 07:45:00 AM,55.017,,,,,
314,03/09/20 08:00:00 AM,60.539,,,,,
315,03/09/20 08:15:00 AM,60.883,,,,,
316,03/09/20 08:30:00 AM,62.425,,,,,
317,03/09/20 08:45:00 AM,65.338,,,,,
318,03/09/20 09:00:00 AM,80.382,,,,,
319,03/09/20 09:15:00 AM,94.444,,,,,
320,03/09/20 09:30:00 AM,91.053,,,,,
321,03/09/20 09:45:00 AM,92.363,,,,,
322,03/09/20 10:00:00 AM,86.641,,,,,
323,03/09/20 10:15:00 AM,84.295,,,,,
324,03/09/20 10:30:00 AM,91.240,,,,,
325,03/09/20 10:45:00 AM,102.290,,,,,
326,03/09/20 11:00:00 AM,100.683,,,,,
327,03/09/20 11:15:00 AM,98.699,,,,,
328,03/09/20 11:30:00 AM,102.697,,,,,
329,03/09/20 11:45:00 AM,98.307,,,,,
330,03/09/20 12:00:00 PM,89.384,,,,,
331,03/09/20 12:15:00 PM,87.368,,,,,
332,03/09/20 12:30:00 PM,87.733,,,,,
333,03/09/20 12:45:00 PM,86.097,,,,,
334,03/09/20 01:00:00 PM,81.442,,,,,
335,03/09/20 01:15:00 PM,83.579,,,,,
336,03/09/20 01:30:00 PM,81.797,,,,,
337,03/09/20 01:45:00 PM,80.029,,,,,
338,03/09/20 02:00:00 PM,79.326,,,,,
339,03/09/20 02:15:00 PM,80.382,,,,,
340,03/09/20 02:30:00 PM,82.508,,,,,
341,03/09/20 02:45:00 PM,88.650,,,,,
342,03/09/20 03:00:00 PM,88.282,,,,,
343,03/09/20 03:15:00 PM,85.374,,,,,
344,03/09/20 03:30:00 PM,81.797,,,,,
345,03/09/20 03:45:00 PM,77.050,,,,,
346,03/09/20 04:00:00 PM,72.372,,,,,
347,03/09/20 04:15:00 PM,69.449,,,,,
348,03/09/20 04:30:00 PM,67.735,,,,,
349,03/09/20 04:45:00 PM,66.537,,,,,
350,03/09/20 05:00:00 PM,64.825,,,,,
351,03/09/20 05:15:00 PM,62.769,,,,,
352,03/09/20 05:30:00 PM,61.054,,,,,
353,03/09/20 05:45:00 PM,59.337,,,,,
354,03/09/20 06:00:00 PM,57.268,,,,,
355,03/09/20 06:15:00 PM,55.189,,,,,
356,03/09/20 06:30:00 PM,53.274,,,,,
357,03/09/20 06:45:00 PM,52.050,,,,,
358,03/09/20 07:00:00 PM,51.346,,,,,
359,03/09/20 07:15:00 PM,50.466,,,,,
360,03/09/20 07:30:00 PM,50.290,,,,,
361,03/09/20 07:45:00 PM,50.995,,,,,
362,03/09/20 08:00:00 PM,50.819,,,,,
363,03/09/20 08:15:00 PM,50.466,,,,,
364,03/09/20 08:30:00 PM,50.819,,,,,
365,03/09/20 08:45:00 PM,51.346,,,,,
366,03/09/20 09:00:00 PM,51.172,,,,,
367,03/09/20 09:15:00 PM,50.819,,,,,
368,03/09/20 09:30:00 PM,50.643,,,,,
369,03/09/20 09:45:00 PM,51.172,,,,,
370,03/09/20 10:00:00 PM,52.225,,,,,
371,03/09/20 10:15:00 PM,52.925,,,,,
372,03/09/20 10:30:00 PM,53.100,,,,,
373,03/09/20 10:45:00 PM,53.274,,,,,
374,03/09/20 11:00:00 PM,53.274,,,,,
375,03/09/20 11:15:00 PM,52.750,,,,,
376,03/09/20 11:30:00 PM,52.050,,,,,
377,03/09/20 11:45:00 PM,50.995,,,,,
378,03/10/20 12:00:00 AM,50.113,,,,,
379,03/10/20 12:15:00 AM,50.113,,,,,
380,03/10/20 12:30:00 AM,50.290,,,,,
381,03/10/20 12:45:00 AM,50.113,,,,,
382,03/10/20 01:00:00 AM,50.995,,,,,
383,03/10/20 01:15:00 AM,51.699,,,,,
384,03/10/20 01:30:00 AM,52.050,,,,,
