"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993)","Host Connected (LGR S/N: 9668993)","End Of File (LGR S/N: 9668993)"
1,12/06/19 03:00:00 PM,61.912,0.00,,,
2,12/06/19 03:15:00 PM,58.476,,,,
3,12/06/19 03:30:00 PM,57.441,,,,
4,12/06/19 03:45:00 PM,56.923,,,,
5,12/06/19 04:00:00 PM,56.057,,,,
6,12/06/19 04:15:00 PM,55.537,,,,
7,12/06/19 04:30:00 PM,55.537,,,,
8,12/06/19 04:45:00 PM,55.711,,,,
9,12/06/19 05:00:00 PM,55.711,,,,
10,12/06/19 05:15:00 PM,55.711,,,,
11,12/06/19 05:30:00 PM,55.711,,,,
12,12/06/19 05:45:00 PM,55.711,,,,
13,12/06/19 06:00:00 PM,55.537,,,,
14,12/06/19 06:03:01 PM,,0.01,,,
15,12/06/19 06:15:00 PM,55.017,,,,
16,12/06/19 06:30:00 PM,54.669,,,,
17,12/06/19 06:32:00 PM,,0.02,,,
18,12/06/19 06:45:00 PM,54.669,,,,
19,12/06/19 07:00:00 PM,54.842,,,,
20,12/06/19 07:15:00 PM,55.189,,,,
21,12/06/19 07:30:00 PM,55.364,,,,
22,12/06/19 07:45:00 PM,55.537,,,,
23,12/06/19 07:48:34 PM,,0.03,,,
24,12/06/19 08:00:00 PM,55.364,,,,
25,12/06/19 08:15:00 PM,55.189,,,,
26,12/06/19 08:19:58 PM,,0.04,,,
27,12/06/19 08:30:00 PM,55.017,,,,
28,12/06/19 08:30:22 PM,,0.05,,,
29,12/06/19 08:35:05 PM,,0.06,,,
30,12/06/19 08:45:00 PM,54.842,,,,
31,12/06/19 08:46:57 PM,,0.07,,,
32,12/06/19 08:59:40 PM,,0.08,,,
33,12/06/19 09:00:00 PM,54.495,,,,
34,12/06/19 09:05:22 PM,,0.09,,,
35,12/06/19 09:15:00 PM,54.322,,,,
36,12/06/19 09:27:14 PM,,0.10,,,
37,12/06/19 09:30:00 PM,54.147,,,,
38,12/06/19 09:30:07 PM,,0.11,,,
39,12/06/19 09:34:40 PM,,0.12,,,
40,12/06/19 09:40:32 PM,,0.13,,,
41,12/06/19 09:45:00 PM,53.798,,,,
42,12/06/19 09:47:19 PM,,0.14,,,
43,12/06/19 09:52:56 PM,,0.15,,,
44,12/06/19 09:55:47 PM,,0.16,,,
45,12/06/19 10:00:00 PM,53.798,,,,
46,12/06/19 10:01:43 PM,,0.17,,,
47,12/06/19 10:13:55 PM,,0.18,,,
48,12/06/19 10:15:00 PM,53.798,,,,
49,12/06/19 10:30:00 PM,53.973,,,,
50,12/06/19 10:45:00 PM,54.147,,,,
51,12/06/19 11:00:00 PM,54.322,,,,
52,12/06/19 11:09:06 PM,,0.19,,,
53,12/06/19 11:15:00 PM,54.322,,,,
54,12/06/19 11:24:27 PM,,0.20,,,
55,12/06/19 11:25:27 PM,,0.21,,,
56,12/06/19 11:27:41 PM,,0.22,,,
57,12/06/19 11:30:00 PM,54.322,,,,
58,12/06/19 11:32:02 PM,,0.23,,,
59,12/06/19 11:45:00 PM,54.322,,,,
60,12/06/19 11:45:07 PM,,0.24,,,
61,12/06/19 11:51:32 PM,,0.25,,,
62,12/06/19 11:52:50 PM,,0.26,,,
63,12/07/19 12:00:00 AM,54.495,,,,
64,12/07/19 12:15:00 AM,54.495,,,,
65,12/07/19 12:23:40 AM,,0.27,,,
66,12/07/19 12:30:00 AM,54.669,,,,
67,12/07/19 12:33:46 AM,,0.28,,,
68,12/07/19 12:40:05 AM,,0.29,,,
69,12/07/19 12:45:00 AM,54.669,,,,
70,12/07/19 01:00:00 AM,54.669,,,,
71,12/07/19 01:15:00 AM,54.669,,,,
72,12/07/19 01:30:00 AM,54.669,,,,
73,12/07/19 01:45:00 AM,54.669,,,,
74,12/07/19 01:55:29 AM,,0.30,,,
75,12/07/19 01:58:34 AM,,0.31,,,
76,12/07/19 02:00:00 AM,54.842,,,,
77,12/07/19 02:09:35 AM,,0.32,,,
78,12/07/19 02:15:00 AM,54.842,,,,
79,12/07/19 02:19:31 AM,,0.33,,,
80,12/07/19 02:28:02 AM,,0.34,,,
81,12/07/19 02:30:00 AM,55.017,,,,
82,12/07/19 02:44:54 AM,,0.35,,,
83,12/07/19 02:45:00 AM,55.017,,,,
84,12/07/19 03:00:00 AM,55.017,,,,
85,12/07/19 03:07:23 AM,,0.36,,,
86,12/07/19 03:15:00 AM,55.017,,,,
87,12/07/19 03:15:54 AM,,0.37,,,
88,12/07/19 03:16:42 AM,,0.38,,,
89,12/07/19 03:17:09 AM,,0.39,,,
90,12/07/19 03:21:12 AM,,0.40,,,
91,12/07/19 03:30:00 AM,55.189,,,,
92,12/07/19 03:40:46 AM,,0.41,,,
93,12/07/19 03:45:00 AM,55.189,,,,
94,12/07/19 03:59:04 AM,,0.42,,,
95,12/07/19 03:59:33 AM,,0.43,,,
96,12/07/19 03:59:52 AM,,0.44,,,
97,12/07/19 04:00:00 AM,55.364,,,,
98,12/07/19 04:00:11 AM,,0.45,,,
99,12/07/19 04:00:48 AM,,0.46,,,
100,12/07/19 04:02:33 AM,,0.47,,,
101,12/07/19 04:15:00 AM,55.364,,,,
102,12/07/19 04:23:30 AM,,0.48,,,
103,12/07/19 04:30:00 AM,55.364,,,,
104,12/07/19 04:31:38 AM,,0.49,,,
105,12/07/19 04:45:00 AM,55.364,,,,
106,12/07/19 05:00:00 AM,55.364,,,,
107,12/07/19 05:07:21 AM,,0.50,,,
108,12/07/19 05:09:49 AM,,0.51,,,
109,12/07/19 05:15:00 AM,55.364,,,,
110,12/07/19 05:29:50 AM,,0.52,,,
111,12/07/19 05:30:00 AM,55.364,,,,
112,12/07/19 05:45:00 AM,55.537,,,,
113,12/07/19 06:00:00 AM,55.537,,,,
114,12/07/19 06:04:19 AM,,0.53,,,
115,12/07/19 06:15:00 AM,55.537,,,,
116,12/07/19 06:30:00 AM,55.537,,,,
117,12/07/19 06:45:00 AM,55.537,,,,
118,12/07/19 07:00:00 AM,55.537,,,,
119,12/07/19 07:15:00 AM,55.537,,,,
120,12/07/19 07:30:00 AM,55.537,,,,
121,12/07/19 07:45:00 AM,55.537,,,,
122,12/07/19 08:00:00 AM,55.711,,,,
123,12/07/19 08:15:00 AM,55.711,,,,
124,12/07/19 08:30:00 AM,55.711,,,,
125,12/07/19 08:45:00 AM,55.884,,,,
126,12/07/19 09:00:00 AM,55.884,,,,
127,12/07/19 09:15:00 AM,56.057,,,,
128,12/07/19 09:30:00 AM,56.057,,,,
129,12/07/19 09:45:00 AM,56.057,,,,
130,12/07/19 10:00:00 AM,56.057,,,,
131,12/07/19 10:15:00 AM,56.230,,,,
132,12/07/19 10:30:00 AM,56.230,,,,
133,12/07/19 10:45:00 AM,56.230,,,,
134,12/07/19 11:00:00 AM,56.230,,,,
135,12/07/19 11:15:00 AM,56.057,,,,
136,12/07/19 11:30:00 AM,56.057,,,,
137,12/07/19 11:45:00 AM,56.057,,,,
138,12/07/19 12:00:00 PM,56.057,,,,
139,12/07/19 12:15:00 PM,56.057,,,,
140,12/07/19 12:30:00 PM,56.057,,,,
141,12/07/19 12:45:00 PM,56.057,,,,
142,12/07/19 01:00:00 PM,56.057,,,,
143,12/07/19 01:13:24 PM,,0.54,,,
144,12/07/19 01:14:34 PM,,0.55,,,
145,12/07/19 01:15:00 PM,55.884,,,,
146,12/07/19 01:17:08 PM,,0.56,,,
147,12/07/19 01:30:00 PM,56.057,,,,
148,12/07/19 01:33:46 PM,,0.57,,,
149,12/07/19 01:35:21 PM,,0.58,,,
150,12/07/19 01:39:33 PM,,0.59,,,
151,12/07/19 01:39:58 PM,,0.60,,,
152,12/07/19 01:40:19 PM,,0.61,,,
153,12/07/19 01:40:55 PM,,0.62,,,
154,12/07/19 01:41:45 PM,,0.63,,,
155,12/07/19 01:43:40 PM,,0.64,,,
156,12/07/19 01:45:00 PM,56.057,,,,
157,12/07/19 02:00:00 PM,56.057,,,,
158,12/07/19 02:15:00 PM,56.057,,,,
159,12/07/19 02:30:00 PM,56.057,,,,
160,12/07/19 02:41:58 PM,,0.65,,,
161,12/07/19 02:45:00 PM,56.057,,,,
162,12/07/19 02:47:40 PM,,0.66,,,
163,12/07/19 02:53:39 PM,,0.67,,,
164,12/07/19 02:55:33 PM,,0.68,,,
165,12/07/19 02:57:47 PM,,0.69,,,
166,12/07/19 02:59:14 PM,,0.70,,,
167,12/07/19 02:59:39 PM,,0.71,,,
168,12/07/19 03:00:00 PM,56.057,,,,
169,12/07/19 03:00:36 PM,,0.72,,,
170,12/07/19 03:05:08 PM,,0.73,,,
171,12/07/19 03:06:02 PM,,0.74,,,
172,12/07/19 03:09:05 PM,,0.75,,,
173,12/07/19 03:11:40 PM,,0.76,,,
174,12/07/19 03:12:52 PM,,0.77,,,
175,12/07/19 03:14:09 PM,,0.78,,,
176,12/07/19 03:15:00 PM,55.884,,,,
177,12/07/19 03:15:03 PM,,0.79,,,
178,12/07/19 03:16:09 PM,,0.80,,,
179,12/07/19 03:17:27 PM,,0.81,,,
180,12/07/19 03:19:51 PM,,0.82,,,
181,12/07/19 03:20:19 PM,,0.83,,,
182,12/07/19 03:20:36 PM,,0.84,,,
183,12/07/19 03:21:47 PM,,0.85,,,
184,12/07/19 03:23:01 PM,,0.86,,,
185,12/07/19 03:23:31 PM,,0.87,,,
186,12/07/19 03:24:36 PM,,0.88,,,
187,12/07/19 03:25:40 PM,,0.89,,,
188,12/07/19 03:27:55 PM,,0.90,,,
189,12/07/19 03:30:00 PM,56.057,,,,
190,12/07/19 03:33:33 PM,,0.91,,,
191,12/07/19 03:36:35 PM,,0.92,,,
192,12/07/19 03:42:54 PM,,0.93,,,
193,12/07/19 03:45:00 PM,56.057,,,,
194,12/07/19 03:48:31 PM,,0.94,,,
195,12/07/19 03:53:14 PM,,0.95,,,
196,12/07/19 03:53:29 PM,,0.96,,,
197,12/07/19 03:53:46 PM,,0.97,,,
198,12/07/19 03:57:59 PM,,0.98,,,
199,12/07/19 04:00:00 PM,56.057,,,,
200,12/07/19 04:02:33 PM,,0.99,,,
