Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201021_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
C7,SCr-358-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.75357819,32.78342819,0.378112584,89.48643494,89.60770416,22.46772957,FALSE,0.1,TRUE,3,29,,N,N,N
C8,SCr-358-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.17558289,32.78342819,0.378112584,67.20085144,89.60770416,22.46772957,FALSE,0.1,TRUE,3,30,,N,N,N
C9,SCr-358-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.42112732,32.78342819,0.378112584,112.1358185,89.60770416,22.46772957,FALSE,0.1,TRUE,3,29,,N,N,N
C10,SCr-365,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.78772354,35.69600296,0.262525856,11.41478443,12.28029251,2.265940189,FALSE,0.1,TRUE,3,31,,N,N,N
C11,SCr-365,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.39992523,35.69600296,0.262525856,14.85142326,12.28029251,2.265940189,FALSE,0.1,TRUE,3,32,,N,N,N
C12,SCr-365,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.90036774,35.69600296,0.262525856,10.57466888,12.28029251,2.265940189,FALSE,0.1,TRUE,3,31,,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.27848434,29.23685265,0.044350691,1000,,,FALSE,0.1,TRUE,3,25,,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.19020844,29.23685265,0.044350691,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.24186134,29.23685265,0.044350691,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D4,SCr-359,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.05737686,33.93022156,0.229279608,36.93798828,40.60248947,6.572854996,FALSE,0.1,TRUE,3,30,,N,N,N
D5,SCr-359,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.06775284,33.93022156,0.229279608,36.67878723,40.60248947,6.572854996,FALSE,0.1,TRUE,3,29,,N,N,N
D6,SCr-359,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6655426,33.93022156,0.229279608,48.1906929,40.60248947,6.572854996,FALSE,0.1,TRUE,3,30,,N,Y,N
