Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\S1P_data\eds_files\20201105_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-05 14:44:58 PM PST,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
C10,SCr-121,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.89206696,31.74113655,0.345548987,171.9478607,192.6779785,44.85705566,FALSE,0.1,TRUE,3,30,
C11,SCr-121,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.98554611,31.74113655,0.345548987,161.9352264,192.6779785,44.85705566,FALSE,0.1,TRUE,3,30,
C12,SCr-121,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.34579849,31.74113655,0.345548987,244.1508484,192.6779785,44.85705566,FALSE,0.1,TRUE,3,29,
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.86360931,29.60448265,0.247885838,1000,,,FALSE,0.1,TRUE,3,28,
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.58020973,29.60448265,0.247885838,1000,,,FALSE,0.1,TRUE,3,27,
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.36962318,29.60448265,0.247885838,1000,,,FALSE,0.1,TRUE,3,27,
D4,SCr-97,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.85386658,28.88456535,0.110476807,1208.466675,1186.858398,82.94731903,FALSE,0.1,TRUE,3,25,
D5,SCr-97,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.79268456,28.88456535,0.110476807,1256.863037,1186.858398,82.94731903,FALSE,0.1,TRUE,3,26,
D6,SCr-97,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.00714493,28.88456535,0.110476807,1095.245361,1186.858398,82.94731903,FALSE,0.1,TRUE,3,27,
D7,SCr-97-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.6797142,30.77627563,0.171711281,374.3829041,353.2811584,37.62334061,FALSE,0.1,TRUE,3,27,
D8,SCr-97-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.97452927,30.77627563,0.171711281,309.8433228,353.2811584,37.62334061,FALSE,0.1,TRUE,3,28,
D9,SCr-97-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.67458534,30.77627563,0.171711281,375.6172791,353.2811584,37.62334061,FALSE,0.1,TRUE,3,28,
D10,SCr-121-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.91764069,33.16601944,0.313556373,89.03044128,76.90935516,14.70672703,FALSE,0.1,TRUE,3,30,
D11,SCr-121-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.06206131,33.16601944,0.313556373,81.14917755,76.90935516,14.70672703,FALSE,0.1,TRUE,3,30,
D12,SCr-121-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.51834869,33.16601944,0.313556373,60.54846191,76.90935516,14.70672703,FALSE,0.1,TRUE,3,31,
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.5109024,33.42230606,0.737877131,100,,,FALSE,0.1,TRUE,3,31,
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.11188507,33.42230606,0.737877131,100,,,FALSE,0.1,TRUE,3,32,
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.64413071,33.42230606,0.737877131,100,,,FALSE,0.1,TRUE,3,30,
E4,SCr-102,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.71251488,28.56686211,0.153092384,1323.224976,1457.585815,143.9868469,FALSE,0.1,TRUE,3,25,
E5,SCr-102,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.40728188,28.56686211,0.153092384,1609.575317,1457.585815,143.9868469,FALSE,0.1,TRUE,3,25,
