Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201008_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-08 12:22:25 PM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
C7,SCr-299-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.14176559,31.3884964,0.213677049,542.506958,468.3501892,64.22210693,FALSE,0.1,TRUE,3,28,,N,N
C8,SCr-299-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51276398,31.3884964,0.213677049,431.0305481,468.3501892,64.22210693,FALSE,0.1,TRUE,3,28,,N,N
C9,SCr-299-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51095963,31.3884964,0.213677049,431.513031,468.3501892,64.22210693,FALSE,0.1,TRUE,3,29,,N,N
C10,SCr-306,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.39073753,29.39864159,0.097393475,1606.562378,1600.648804,96.25779724,FALSE,0.1,TRUE,3,26,,N,N
C11,SCr-306,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.305439,29.39864159,0.097393475,1693.813477,1600.648804,96.25779724,FALSE,0.1,TRUE,3,26,,N,N
C12,SCr-306,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.49974442,29.39864159,0.097393475,1501.570557,1600.648804,96.25779724,FALSE,0.1,TRUE,3,26,,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.12753677,30.05858421,0.14924334,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.88733101,30.05858421,0.14924334,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.16088295,30.05858421,0.14924334,1000,,,FALSE,0.1,TRUE,3,25,,N,N
D4,SCr-300,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.39431763,31.20633507,0.189607963,463.8757019,523.6238403,61.54149246,FALSE,0.1,TRUE,3,28,,N,N
D5,SCr-300,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.20954323,31.20633507,0.189607963,520.1817017,523.6238403,61.54149246,FALSE,0.1,TRUE,3,27,,N,N
D6,SCr-300,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.01514244,31.20633507,0.189607963,586.814209,523.6238403,61.54149246,FALSE,0.1,TRUE,3,27,,N,N
D7,SCr-300-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.48067284,31.33922768,0.125529349,439.6925659,480.9519958,36.7356987,FALSE,0.1,TRUE,3,28,,N,N
D8,SCr-300-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.24107361,31.33922768,0.125529349,510.1113892,480.9519958,36.7356987,FALSE,0.1,TRUE,3,28,,N,N
